project,n_nobot_edits
WikiProject_Women_in_Red,15268
WikiProject_Military_history,12763
WikiProject_Medicine,8727
WikiProject_Video_games,7408
WikiProject_Film,3103
WikiProject_College_football,1942
WikiProject_Anime_and_manga,1718
WikiProject_Professional_wrestling,1562
WikiProject_Oregon,1525
WikiProject_India,1467
WikiProject_U.S._Roads,1444
WikiProject_National_Football_League,1411
WikiProject_Asia,1342
WikiProject_Women,1088
WikiProject_Women_artists,1088
WikiProject_Women's_History,1088
WikiProject_Women_scientists,1088
