wikiproject,arts,geography,health,mathematics,history,science,people,philosophy,religion,society,technology,NF
Military history,0.060280023327191026,0.1444946761799687,0.0095365904069352782,0.011917826961536334,0.170005152553425,0.017329463581344847,0.139558510591845,0.026818506885111643,0.0089737879612675469,0.26772900480031669,0.068135969189477147,0
Oregon,0.11728765632276127,0.22883015311074581,0.015092264793505276,0.00603690591740211,0.061592149778104434,0.042942823319512782,0.14448739599521984,0.017347688751493798,0.010525311803946431,0.23422746118931534,0.04873847742051314,0
Anime and manga,0.38255870054679963,0.032050766591615737,0.0017489546477967193,0.00280770880240163,0.049995979414602765,0.013133912297630536,0.1832917872842286,0.034389407097673422,0.016712233301168649,0.18260828776669882,0.070541170794467672,0
Medicine,0.042565476465425654,0.07959951960829599,0.32860640214328607,0.003833895330038339,0.0380502563628805,0.10209478497852095,0.073432953023234326,0.022818605940228186,0.014735091690147351,0.16765208554667652,0.06364035290313641,0
India,0.20014775978567245,0.14079656784662109,0.0084772246646581048,0.008615275388438327,0.075219439969173726,0.020868414904623638,0.17148327158976787,0.023142459244695667,0.031064446932391555,0.23618810093783471,0.0294305938608388,0
Women scientists,0.051249004965695011,0.14874341382055267,0.038436753724271258,0.027917819642924831,0.031727379553466509,0.14741670141389637,0.12527955725711687,0.025927751032940375,0.018289678177476214,0.23207990599294948,0.06552063985444069,0
Film,0.54556867815875931,0.022922790478553189,0.0030747487201076536,0.00013030719922216627,0.090520903028890612,0.0049654560626677391,0.11169832881016997,0.0050431392006655687,0.0084060673036683974,0.15866655640672886,0.036360720398339083,0
Women artists,0.38847166056871429,0.11475383529109699,0.0074459207908081394,0.0042685666602477693,0.027569163617690479,0.012276140958983247,0.15050709288144296,0.015918865138969125,0.010286282816612107,0.13627318826625587,0.015084408498619938,0
Women's History,0.14249731899799267,0.12757169961778536,0.021852228668848131,0.012668078202766244,0.10340143536722853,0.017042923529573515,0.18158495339181127,0.034622047460609894,0.032796216349987625,0.22839112382104657,0.017551626474551104,0
Professional wrestling,0.1462308180562297,0.155415748795878,0.030149721838479634,0.0087555538961281414,0.036329014673486912,0.0030616435798827613,0.38093193443602286,0.01990068326923795,0.0044804540193406264,0.13534704850091475,0.0067206810290109395,0
Video games,0.20251212676722469,0.028256051657487718,0.0011784755256235367,0.0012136538995227467,0.11696223015255688,0.0090564769249410759,0.1413994738878748,0.15920950285140265,0.011231673044375565,0.19441914641630087,0.12391973076817843,0
College football,0.07909542039989062,0.13447448002959769,0.028660704232148889,0.0019584345392249908,0.055206138304888443,0.0035569514372577092,0.48823933919925361,0.0050207505589782361,0.0024088342689851531,0.13850394904048771,0.005091125516753261,0
Women's Health,0.032608695652173912,0,0.2608695652173913,0.032608695652173912,0,0.032608695652173912,0.2608695652173913,0.065217391304347824,0,0.29347826086956524,0.021739130434782608,0
