wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
u.s. roads,big dig,4318,0,high,c
u.s. roads,interstate highway system,43950,0,top,b
u.s. roads,united states numbered highway system,43951,0,top,ga
u.s. roads,national road,55562,0,mid,c
u.s. roads,interstate 25,56312,0,high,start
u.s. roads,42nd street (manhattan),61068,0,low,start
u.s. roads,great river road,63459,0,low,start
u.s. roads,king's highway (charleston to boston),63475,0,mid,start
u.s. roads,boston post road,63499,0,mid,c
u.s. roads,federal-aid highway act of 1973,67794,0,mid,c
u.s. roads,surface transportation and uniform relocation assistance act,67795,0,low,stub
u.s. roads,u.s. route 101,70780,0,high,b
u.s. roads,u.s. route 1,75235,0,high,b
u.s. roads,california state route 1,75245,0,mid,c
u.s. roads,interstate 95,75275,0,high,b
u.s. roads,list of interstate highways,76180,0,top,list
u.s. roads,interstate 99,78058,0,high,c
u.s. roads,interstate 5,78066,0,high,c
u.s. roads,interstate 97,78103,0,high,ga
u.s. roads,new jersey turnpike,78128,0,high,c
u.s. roads,interstate 78,79653,0,high,c
u.s. roads,interstate 96,79655,0,mid,fa
u.s. roads,massachusetts route 128,79707,0,high,c
u.s. roads,u.s. route 66,79717,0,top,c
u.s. roads,new jersey route 59,79967,0,mid,ga
u.s. roads,new jersey route 18,80802,0,high,ga
u.s. roads,new jersey route 28,80807,0,mid,ga
u.s. roads,lincoln highway,80815,0,high,c
u.s. roads,interstate 238,80908,0,mid,c
u.s. roads,new jersey route 27,81868,0,mid,ga
u.s. roads,u.s. route 22,81875,0,high,c
u.s. roads,new jersey route 138,81881,0,high,b
u.s. roads,new jersey route 21,83562,0,high,ga
u.s. roads,new jersey route 34,83564,0,mid,ga
u.s. roads,new jersey route 35,83573,0,high,ga
u.s. roads,new jersey route 38,83608,0,high,ga
u.s. roads,u.s. route 9,83629,0,high,start
u.s. roads,interstate 76,83936,0,na,disambig
u.s. roads,interstate 80,84143,0,high,c
u.s. roads,pennsylvania turnpike,84195,0,mid,ga
u.s. roads,interstate 4,86005,0,high,c
u.s. roads,interstate 8,86026,0,high,fa
u.s. roads,interstate h-1,86029,0,high,c
u.s. roads,interstate 10,86404,0,high,c
u.s. roads,interstate 12,86408,0,high,c
u.s. roads,interstate 15,86421,0,high,c
u.s. roads,interstate 16,86824,0,high,c
u.s. roads,interstate 17,86830,0,high,c
u.s. roads,interstate 19,86841,0,high,b
u.s. roads,interstate 70,88299,0,high,c
u.s. roads,interstate 75,88307,0,high,c
u.s. roads,interstate 20,88879,0,high,start
u.s. roads,interstate 24,88886,0,high,c
u.s. roads,interstate 26,88991,0,high,c
u.s. roads,interstate 27,88996,0,high,c
u.s. roads,interstate 29,89001,0,high,c
u.s. roads,interstate 83,89010,0,high,c
u.s. roads,interstate h-2,89013,0,high,start
u.s. roads,interstate h-3,89023,0,high,c
u.s. roads,interstate 81,89483,0,high,start
u.s. roads,interstate 30,89533,0,high,c
u.s. roads,interstate 35,89535,0,high,b
u.s. roads,interstate 37,89537,0,high,ga
u.s. roads,interstate 39,89542,0,high,c
u.s. roads,interstate 40,89548,0,high,c
u.s. roads,interstate 68,89588,0,high,fa
u.s. roads,interstate 90,89866,0,high,c
u.s. roads,interstate 94,89876,0,high,b
u.s. roads,interstate 55,90711,0,high,c
u.s. roads,interstate 57,90714,0,high,c
u.s. roads,interstate 79,90722,0,high,b
u.s. roads,interstate 43,92013,0,high,c
u.s. roads,interstate 44,92023,0,high,c
u.s. roads,interstate 45,92027,0,high,b
u.s. roads,interstate 49,92031,0,high,c
u.s. roads,interstate 59,92090,0,high,start
u.s. roads,interstate 91,92121,0,high,c
u.s. roads,interstate 93,92122,0,high,c
u.s. roads,interstate 64,92421,0,high,c
u.s. roads,interstate 65,92427,0,high,start
u.s. roads,interstate 66,92432,0,high,c
u.s. roads,interstate 77,93076,0,high,c
u.s. roads,interstate 69,93576,0,high,c
u.s. roads,interstate 71,93577,0,high,c
u.s. roads,interstate 72,93580,0,high,c
u.s. roads,interstate 73,93586,0,high,c
u.s. roads,interstate 74,93589,0,high,start
u.s. roads,interstate 82,93824,0,high,b
u.s. roads,interstate 85,93828,0,high,c
u.s. roads,interstate 87,93830,0,high,ga
u.s. roads,interstate 89,93832,0,high,start
u.s. roads,interstate 84,93834,0,na,disambig
u.s. roads,interstate 88,93835,0,na,disambig
u.s. roads,interstate 86,93837,0,na,disambig
u.s. roads,state highways in new jersey,97730,0,top,start
u.s. roads,new jersey route 3,97738,0,high,ga
u.s. roads,new jersey route 495,97752,0,high,ga
u.s. roads,new jersey route 70,97764,0,high,ga
u.s. roads,new jersey route 4,98358,0,high,ga
u.s. roads,new jersey route 20,98361,0,high,ga
u.s. roads,new jersey route 19,98365,0,mid,ga
u.s. roads,new jersey route 120,98368,0,mid,ga
u.s. roads,list of united states numbered highways,98393,0,top,list
u.s. roads,new jersey route 5,99519,0,mid,ga
u.s. roads,new jersey route 7,99526,0,high,ga
u.s. roads,new jersey route 10,99528,0,mid,ga
u.s. roads,new jersey route 13,99529,0,mid,b
u.s. roads,new jersey route 12,99530,0,mid,ga
u.s. roads,new jersey route 15,99532,0,high,b
u.s. roads,new jersey route 17,99536,0,high,ga
