wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
professional wrestling,andré the giant,2575,0,high,c
professional wrestling,mr. t,19019,0,low,b
professional wrestling,professional wrestling,24864,0,top,c
professional wrestling,ted turner,30475,0,mid,c
professional wrestling,xfl,34137,0,low,start
professional wrestling,mike tyson,39027,0,low,c
professional wrestling,wwe,62676,0,top,b
professional wrestling,professional wrestling match types,63995,0,high,c
professional wrestling,jesse ventura,65521,0,mid,b
professional wrestling,madison square garden,75129,0,high,c
professional wrestling,cyndi lauper,85226,0,low,c
professional wrestling,bronko nagurski,87070,0,mid,c
professional wrestling,andy kaufman,99881,0,low,c
professional wrestling,mall of america,101941,0,low,start
professional wrestling,anton geesink,104337,0,low,c
professional wrestling,sean waltman,123416,0,mid,b
professional wrestling,pedro morales,151804,0,high,b
professional wrestling,rocky iii,152328,0,low,c
professional wrestling,carlos colón sr.,155498,0,mid,start
professional wrestling,dwayne johnson,156126,0,top,ga
professional wrestling,bruiser brody,158716,0,mid,start
professional wrestling,tito ortiz,169662,0,low,start
professional wrestling,rogers centre,171554,0,low,c
professional wrestling,billy corgan,183773,0,low,b
professional wrestling,world championship wrestling,186694,0,top,start
professional wrestling,bob sapp,204196,0,low,b
professional wrestling,shirley crabtree,218225,0,low,start
professional wrestling,earnie shavers,223132,0,low,c
professional wrestling,lita (wrestler),240731,0,mid,ga
professional wrestling,rey mysterio,247468,0,high,b
professional wrestling,sgt. slaughter,251954,0,mid,start
professional wrestling,primo carnera,254845,0,low,start
professional wrestling,tony halme,255255,0,low,c
professional wrestling,miss elizabeth,259765,0,mid,start
professional wrestling,freddie blassie,261935,0,mid,start
professional wrestling,chavo guerrero sr.,263716,0,mid,start
professional wrestling,lex luger,272874,0,mid,b
professional wrestling,astrodome,274065,0,low,start
professional wrestling,the rundown,284697,0,low,start
professional wrestling,zach gowen,285836,0,low,c
professional wrestling,linda miles,286330,0,low,start
professional wrestling,tommy dreamer,289632,0,mid,b
professional wrestling,mil máscaras,297992,0,high,c
professional wrestling,hulk hogan,301775,0,top,b
professional wrestling,bret hart,303089,0,top,c
professional wrestling,triple h,303225,0,high,ga
professional wrestling,stephanie mcmahon,303946,0,mid,ga
professional wrestling,vince mcmahon,303951,0,top,c
professional wrestling,eric bischoff,304089,0,high,c
professional wrestling,shane mcmahon,304169,0,mid,b
professional wrestling,Último dragón,304182,0,mid,c
professional wrestling,dawn marie psaltis,304416,0,low,ga
professional wrestling,lance storm,304918,0,mid,c
professional wrestling,american wrestling association,305306,0,mid,start
professional wrestling,yoshihiro tajiri,305367,0,mid,c
professional wrestling,lisa marie varon,305382,0,mid,ga
professional wrestling,mick foley,305487,0,high,b
professional wrestling,national wrestling alliance,305917,0,top,c
