wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
lgbt studies,achilles,305,0,,c
lgbt studies,apollo,594,0,,b
lgbt studies,alexander the great,783,0,,ga
lgbt studies,andy warhol,864,0,,b
lgbt studies,allen ginsberg,1017,0,,b
lgbt studies,andré gide,1058,0,,c
lgbt studies,aleister crowley,1177,0,,ga
lgbt studies,alan turing,1208,0,,ga
lgbt studies,agesilaus ii,1550,0,,c
lgbt studies,alcaeus of mytilene,1577,0,,start
lgbt studies,age of consent,1653,0,,c
lgbt studies,american civil liberties union,1950,0,,ga
lgbt studies,ani difranco,2126,0,,b
lgbt studies,anal sex,2460,0,,b
lgbt studies,abd-ar-rahman iii,2678,0,,c
lgbt studies,anaïs nin,2919,0,,c
lgbt studies,romantic orientation,2945,0,,start
lgbt studies,arthur laurents,2999,0,,start
lgbt studies,a. e. housman,3198,0,,c
lgbt studies,bisexual (disambiguation),3774,0,,disambig
lgbt studies,bronski beat,4071,0,,start
lgbt studies,batman,4335,0,,c
lgbt studies,bdsm,4545,0,,b
lgbt studies,brian boitano,4631,0,,start
lgbt studies,bjørn lomborg,5015,0,,b
lgbt studies,charlize theron,5132,0,,c
lgbt studies,cross-dressing,5700,0,,b
lgbt studies,constans,6747,0,,
lgbt studies,carmilla,6921,0,,b
lgbt studies,colette,6928,0,,b
lgbt studies,christianity and homosexuality,7272,0,,c
lgbt studies,clive barker,7573,0,,b
lgbt studies,camilla hall,7797,0,,start
lgbt studies,drew barrymore,7886,0,,c
lgbt studies,vladimir harkonnen,7901,0,,c
lgbt studies,disco,7966,0,,b
lgbt studies,major depressive disorder,8389,0,,fa
lgbt studies,dressed to kill (1980 film),8481,0,,start
lgbt studies,stephen donaldson (activist),8605,0,,start
lgbt studies,don't ask, don't tell,8690,0,,b
lgbt studies,david bowie,8786,0,,fa
lgbt studies,prince eugene of savoy,9679,0,,
lgbt studies,emma goldman,9764,0,,fa
lgbt studies,edna st. vincent millay,9824,0,,b
lgbt studies,enid blyton,10258,0,,fa
lgbt studies,edward lear,10408,0,,c
lgbt studies,ed wood,10520,0,,b
lgbt studies,francesco algarotti,11015,0,,start
lgbt studies,four weddings and a funeral,11223,0,,c
lgbt studies,frankie goes to hollywood,11229,0,,b
lgbt studies,relax (song),11260,0,,c
lgbt studies,show me love (film),11585,0,,start
lgbt studies,gloria gaynor,12509,0,,c
lgbt studies,gerard manley hopkins,12523,0,,b
lgbt studies,galba,12576,0,,start
lgbt studies,gia carangi,12747,0,,start
lgbt studies,george cukor,12754,0,,c
lgbt studies,gender and sexuality studies,12773,0,,start
lgbt studies,giordano bruno,12963,0,,c
lgbt studies,graham chapman,13024,0,,ga
lgbt studies,lgbt social movements,13070,0,,b
lgbt studies,geoff ryman,13114,0,,start
lgbt studies,glen or glenda,13154,0,,c
lgbt studies,horace walpole,13447,0,,c
lgbt studies,hate crime,13547,0,,b
lgbt studies,hans christian andersen,13550,0,,c
lgbt studies,hadrian,13621,0,,c
lgbt studies,hypnos,13629,0,,start
lgbt studies,heracles,13815,0,,c
lgbt studies,henry rollins,13820,0,,ga
lgbt studies,heracleidae,14169,0,,start
lgbt studies,elagabalus,14227,0,,fa
lgbt studies,hate speech,14233,0,,b
lgbt studies,hugh hefner,14279,0,,c
lgbt studies,ian mckellen,15308,0,,ga
lgbt studies,lgbt in islam,15471,0,,b
lgbt studies,iceman (character),15505,0,,c
lgbt studies,jean cocteau,15837,0,,b
lgbt studies,jack kerouac,15890,0,,b
lgbt studies,joanna russ,16017,0,,c
lgbt studies,j. edgar hoover,16044,0,,b
lgbt studies,james whale,16074,0,,ga
lgbt studies,homosexuality and judaism,16186,0,,b
lgbt studies,jeffrey dahmer,16218,0,,b
lgbt studies,james randi,16278,0,,b
lgbt studies,joseph mccarthy,16321,0,,ga
lgbt studies,james tiptree jr.,16412,0,,c
lgbt studies,james tiptree jr. award,16413,0,,start
lgbt studies,james beard,16442,0,,start
lgbt studies,joe orton,16486,0,,b
lgbt studies,jerry falwell,16504,0,,b
lgbt studies,kurt cobain,16707,0,,c
lgbt studies,kylie minogue,16894,0,,fa
lgbt studies,kathy acker,16960,0,,c
lgbt studies,kinsey reports,17096,0,,b
lgbt studies,ludwig wittgenstein,17741,0,,b
lgbt studies,lesbian,17846,0,,ga
lgbt studies,leonardo da vinci,18079,0,,ga
lgbt studies,transgender rights,18330,0,,b
lgbt studies,lindsay anderson,18443,0,,start
lgbt studies,margaret mead,19617,0,,b
lgbt studies,marlon brando,19903,0,,b
lgbt studies,mark bingham,19941,0,,start
lgbt studies,marsilio ficino,19963,0,,start
lgbt studies,marina tsvetaeva,20187,0,,b
lgbt studies,mychal judge,20360,0,,start
lgbt studies,minos,20665,0,,b
lgbt studies,mulholland drive (film),20786,0,,fa
lgbt studies,malcolm x,20796,0,,fa
lgbt studies,michel tremblay,20925,0,,b
lgbt studies,marcel proust,21018,0,,c
lgbt studies,michelangelo,21019,0,,c
lgbt studies,nero,21632,0,,ga
lgbt studies,wicca and lgbt people,21752,0,,start
lgbt studies,narcissus (mythology),22099,0,,start
lgbt studies,outing,22310,0,,start
lgbt studies,oscar wilde,22614,0,,ga
lgbt studies,poseidon,22948,0,,c
lgbt studies,patrick white,23932,0,,b
lgbt studies,pyotr ilyich tchaikovsky,24503,0,,fa
lgbt studies,pope julius iii,24685,0,,start
lgbt studies,peter david,24994,0,,
lgbt studies,patricia soltysik,25103,0,,stub
