wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
cricket,the ashes,1132,0,high,c
cricket,leg theory,4109,0,mid,start
cricket,brian lara,4367,0,high,start
cricket,cricket world cup,7239,0,high,fa
cricket,first-class cricket,11040,0,high,b
cricket,geoff hurst,12501,0,low,start
cricket,hansie cronje,13961,0,mid,start
cricket,ian botham,15524,0,high,b
cricket,john major,15898,0,low,c
cricket,bodyline,18053,0,high,fa
cricket,leg spin,18121,0,mid,start
cricket,left-arm orthodox spin,18148,0,high,start
cricket,left-arm unorthodox spin,18544,0,high,start
cricket,flipper (cricket),18650,0,mid,start
cricket,cardiff arms park,19532,0,low,ga
cricket,melbourne cricket ground,19765,0,high,start
cricket,muttiah muralitharan,20905,0,high,b
cricket,off spin,22499,0,mid,start
cricket,limited overs cricket,22794,0,high,start
cricket,richie benaud,26479,0,high,b
cricket,samuel beckett,27640,0,low,b
cricket,test cricket,30863,0,high,start
cricket,w. g. grace,34119,0,high,b
cricket,edmund blunden,49791,0,low,start
cricket,winchester college,50460,0,low,start
cricket,frederick, prince of wales,50666,0,mid,start
cricket,googly,51874,0,high,start
cricket,bowling (cricket),51878,0,top,start
cricket,sachin tendulkar,57570,0,high,b
cricket,curtly ambrose,58099,0,high,ga
cricket,prince philip, duke of edinburgh,62093,0,low,b
cricket,fielding (cricket),65951,0,top,start
cricket,richard hadlee,66143,0,high,start
cricket,lewes,67930,0,low,start
cricket,guildford,77783,0,low,b
cricket,quintin hogg (merchant),78964,0,low,start
cricket,mohammad azharuddin,86690,0,mid,start
cricket,umpire (cricket),86701,0,top,start
cricket,mark taylor (cricketer),87018,0,mid,b
cricket,don bradman,87021,0,high,fa
cricket,joel garner,87055,0,high,start
cricket,topspinner,88818,0,low,start
cricket,blackheath, london,93894,0,low,start
cricket,chingford,93927,0,low,start
cricket,george rawlinson,144088,0,low,start
cricket,david gower,151395,0,high,start
cricket,mark waugh,151606,0,mid,start
cricket,ian chappell,151608,0,mid,fa
cricket,steve waugh,156123,0,high,b
cricket,backyard cricket,158893,0,low,start
cricket,michael atherton,159024,0,mid,start
cricket,2003 icc cricket world cup,161161,0,mid,start
cricket,colin cowdrey,165713,0,high,start
cricket,harold larwood,171681,0,high,fa
cricket,tim rice,172838,0,low,start
cricket,kerry packer,173686,0,high,start
cricket,alec douglas-home,175847,0,low,fa
cricket,sunil gavaskar,176793,0,high,start
