wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
national football league,american football conference,615,0,high,start
national football league,arizona cardinals,2102,0,top,c
national football league,atlanta falcons,2103,0,top,c
national football league,american football league,2357,0,top,b
national football league,bill walsh (american football coach),4166,0,high,c
national football league,baltimore ravens,4293,0,top,b
national football league,buffalo bills,4315,0,top,b
national football league,bert bell,4892,0,top,ga
national football league,cleveland browns,6576,0,top,b
national football league,carolina panthers,6610,0,top,fa
national football league,chicago bears,6611,0,top,b
national football league,cincinnati bengals,6612,0,top,b
national football league,dallas cowboys,8121,0,top,b
national football league,denver broncos,8122,0,top,c
national football league,detroit lions,8577,0,top,b
national football league,fenway park,11238,0,low,b
national football league,green bay packers,12663,0,top,b
national football league,houston texans,13864,0,top,b
national football league,indianapolis colts,15049,0,top,c
national football league,johnny unitas,15644,0,top,b
national football league,jacksonville jaguars,16156,0,top,c
national football league,jack kemp,16200,0,high,ga
national football league,miami dolphins,19190,0,top,b
national football league,minnesota vikings,20134,0,top,b
national football league,national football league,21211,0,top,ga
national football league,new england patriots,21719,0,top,ga
national football league,new orleans saints,21720,0,top,c
national football league,new york jets,21721,0,top,ga
national football league,new york giants,21757,0,top,b
national football league,oakland raiders,22312,0,top,c
national football league,paul robeson,23229,0,low,b
national football league,pittsburgh steelers,23338,0,top,b
national football league,philadelphia eagles,23339,0,top,b
national football league,paul allen,23347,0,low,ga
national football league,san francisco 49ers,27169,0,top,c
national football league,los angeles chargers,27170,0,top,c
national football league,super bowl,27718,0,top,b
national football league,seattle seahawks,28390,0,top,c
national football league,super bowl iii,28975,0,high,b
national football league,super bowl xx,28976,0,high,b
national football league,super bowl i,29128,0,high,start
national football league,super bowl ii,29129,0,high,b
national football league,super bowl iv,29130,0,high,start
national football league,super bowl v,29131,0,high,start
national football league,super bowl vi,29132,0,high,start
national football league,super bowl vii,29133,0,high,start
national football league,super bowl viii,29134,0,high,start
national football league,super bowl ix,29135,0,high,start
national football league,super bowl x,29136,0,high,c
national football league,super bowl xi,29137,0,high,start
national football league,super bowl xii,29138,0,high,start
national football league,super bowl xiii,29139,0,high,b
national football league,super bowl xiv,29140,0,high,b
national football league,super bowl xv,29141,0,high,start
national football league,super bowl xvi,29142,0,high,b
national football league,super bowl xvii,29143,0,high,start
national football league,super bowl xviii,29144,0,high,b
national football league,super bowl xix,29145,0,high,b
national football league,super bowl xxi,29146,0,high,start
national football league,super bowl xxii,29147,0,high,start
national football league,super bowl xxiii,29148,0,high,b
national football league,super bowl xxiv,29149,0,high,b
national football league,super bowl xxv,29150,0,high,start
national football league,super bowl xxvi,29151,0,high,start
national football league,super bowl xxvii,29152,0,high,start
national football league,super bowl xxviii,29153,0,high,b
national football league,super bowl xxix,29154,0,high,b
national football league,super bowl xxx,29155,0,high,start
national football league,super bowl xxxi,29156,0,high,b
national football league,super bowl xxxii,29157,0,high,c
national football league,super bowl xxxiii,29158,0,high,b
national football league,super bowl xxxiv,29159,0,high,b
national football league,super bowl xxxv,29160,0,high,start
national football league,super bowl xxxvi,29564,0,high,b
national football league,tampa bay buccaneers,30837,0,top,b
national football league,tennessee titans,30839,0,top,b
national football league,vince lombardi,32641,0,top,b
national football league,washington redskins,33673,0,top,b
national football league,yankee stadium (1923),40019,0,unknown,c
national football league,wrigley field,40224,0,mid,c
national football league,byron white,49248,0,high,b
national football league,jim thorpe,53869,0,top,fa
national football league,terry bradshaw,60089,0,top,c
national football league,jim hines,67837,0,unknown,start
national football league,bob hayes,68423,0,top,c
national football league,all-america football conference,73669,0,top,start
national football league,eddie george,84608,0,high,c
national football league,bronko nagurski,87070,0,top,c
national football league,william perry (american football),87200,0,unknown,start
national football league,shotgun formation,98535,0,unknown,start
national football league,randy white (american football),113359,0,top,start
national football league,curly lambeau,149579,0,top,start
national football league,lambeau field,149583,0,mid,b
national football league,emmitt smith,154857,0,top,c
national football league,charisma carpenter,159281,0,unknown,c
national football league,nfl europe,160994,0,high,start
national football league,suge knight,161482,0,low,b
national football league,sid gillman,165323,0,top,start
national football league,jim mcmahon,167090,0,unknown,start
national football league,jerry jones,167154,0,unknown,start
national football league,gloria estefan,169245,0,unknown,c
national football league,candlestick park,173970,0,mid,c
national football league,super bowl xxxvii,174949,0,high,c
national football league,barry sanders,179348,0,top,c
national football league,jeff garcia,186268,0,high,b
national football league,joe krol,187629,0,unknown,c
national football league,doug flutie,189559,0,mid,b
national football league,tom landry,190024,0,top,c
national football league,bob lilly,190029,0,top,c
national football league,darren flutie,190091,0,unknown,start
national football league,marc boerigter,190197,0,unknown,start
national football league,warren moon,190199,0,top,c
national football league,monday night football,195068,0,mid,b
national football league,centurylink field,206812,0,mid,fa
national football league,national football conference,207152,0,high,start
national football league,akron pros,207154,0,high,c
national football league,cleveland bulldogs,207157,0,high,start
national football league,frankford yellow jackets,207162,0,high,start
national football league,providence steam roller,207163,0,high,start
national football league,fritz pollard,207167,0,top,c
national football league,teri hatcher,210318,0,low,b
national football league,tecmo super bowl,213505,0,unknown,start
national football league,hubert h. humphrey metrodome,236994,0,mid,b
national football league,metropolitan stadium,237004,0,mid,b
national football league,list of defunct national football league franchises,239576,0,unknown,list
national football league,dallas texans (nfl),239583,0,high,start
national football league,boston yanks,239702,0,high,start
national football league,buffalo (nfl),239704,0,high,c
national football league,minneapolis marines / red jackets,239708,0,high,start
national football league,detroit (1920s nfl teams),239709,0,high,start
national football league,washington senators (nfl),239710,0,high,start
national football league,orange/newark tornadoes,239718,0,high,start
national football league,duluth kelleys/eskimos,239721,0,high,start
national football league,chicago tigers,239728,0,high,start
national football league,cincinnati celts,239730,0,high,start
national football league,cincinnati reds (nfl),239731,0,high,start
national football league,st. louis gunners,239732,0,high,start
national football league,cleveland tigers (nfl),239736,0,high,start
national football league,cleveland indians (nfl 1931),239738,0,high,stub
national football league,columbus panhandles,239743,0,high,start
national football league,evansville crimson giants,239747,0,high,c
national football league,los angeles buccaneers,239748,0,high,start
national football league,muncie flyers,239750,0,high,start
national football league,louisville (nfl),239754,0,high,c
national football league,new york yankees (nfl),239756,0,high,start
national football league,hartford blues,239760,0,high,c
national football league,oorang indians,239762,0,high,start
national football league,hammond pros,239763,0,high,start
national football league,kenosha maroons,239764,0,high,start
national football league,milwaukee badgers,239765,0,high,start
national football league,rochester jeffersons,239769,0,high,start
national football league,rock island independents,239772,0,high,start
national football league,st. louis all-stars,239776,0,high,start
national football league,george plimpton,242036,0,low,b
national football league,jay berwanger,244335,0,unknown,start
national football league,keith wright (defensive tackle),251015,0,unknown,stub
national football league,lincoln financial field,251756,0,mid,c
national football league,art modell,259098,0,unknown,start
national football league,lisa guerrero,263495,0,unknown,start
national football league,tex schramm,268940,0,top,start
national football league,history of the portsmouth spartans,270901,0,unknown,start
national football league,vince lombardi trophy,271635,0,mid,start
national football league,bud grant,272581,0,top,ga
national football league,pro football hall of fame,272590,0,high,c
national football league,fran tarkenton,272705,0,top,start
national football league,pete rozelle,272719,0,top,c
national football league,paul tagliabue,272734,0,unknown,start
national football league,alan page,272866,0,top,c
national football league,tommy kramer,272918,0,unknown,start
national football league,jim finks,272951,0,top,start
national football league,ron yary,273704,0,top,start
national football league,pro bowl,274117,0,high,start
national football league,korey stringer,274603,0,unknown,start
national football league,larry csonka,275966,0,top,c
national football league,joe namath,285712,0,top,c
national football league,sid luckman,288121,0,top,ga
national football league,jim kelly,288178,0,top,c
national football league,super bowl most valuable player award,291253,0,mid,fl
national football league,arrowhead stadium,292909,0,mid,c
national football league,george saimes,295685,0,unknown,start
national football league,joe montana,295701,0,top,b
national football league,nickerson field,295777,0,unknown,start
national football league,steve young,296565,0,top,c
national football league,mike ditka,297288,0,top,c
national football league,bill parcells,305029,0,top,b
national football league,mike mccarthy (american football),306651,0,unknown,start
national football league,stacy keibler,307284,0,low,ga
national football league,john elway,308121,0,top,b
national football league,john layfield,308405,0,unknown,b
national football league,tonawanda kardex lumbermen,308570,0,high,start
national football league,cookie gilchrist,310743,0,unknown,start
national football league,brock lesnar,316592,0,low,ga
national football league,fred taylor (american football),316886,0,mid,start
national football league,david kopay,320692,0,low,start
national football league,gino cappelletti,321099,0,unknown,start
national football league,ron burton,321102,0,unknown,start
national football league,matt bloom,324001,0,low,b
national football league,tom dempsey,324325,0,unknown,start
national football league,jimmy johnson (american football coach),327892,0,top,c
national football league,tony dorsett,327911,0,top,c
national football league,mike stratton,329075,0,unknown,stub
national football league,paul maguire,329079,0,unknown,start
national football league,john hadl,329109,0,unknown,start
national football league,keith lincoln,329114,0,unknown,start
national football league,walt sweeney,329136,0,unknown,start
national football league,paul lowe,329143,0,unknown,start
national football league,daryle lamonica,329170,0,unknown,start
national football league,tom flores,329191,0,unknown,start
national football league,charlie tolar,329532,0,unknown,stub
national football league,lionel taylor,329536,0,unknown,start
national football league,gene mingo,329547,0,unknown,stub
national football league,floyd little,329594,0,top,start
national football league,gerry philbin,330168,0,unknown,start
national football league,sonny werblin,330170,0,unknown,start
national football league,al davis,330174,0,top,start
national football league,johnny robinson (safety),330246,0,mid,start
national football league,hank stram,330259,0,top,start
national football league,lamar hunt,330264,0,top,c
national football league,sam adams (american football),330623,0,unknown,start
national football league,goose gonsoulin,330790,0,unknown,stub
national football league,lance alworth,330810,0,top,c
national football league,howard cosell,331801,0,mid,c
national football league,oakland–alameda county coliseum,332305,0,mid,c
national football league,ten-year afl patch,332549,0,unknown,start
national football league,chris burford,338512,0,unknown,stub
national football league,apollonia kotero,339744,0,unknown,start
national football league,steve largent,339827,0,top,c
national football league,tom brady,339841,0,top,b
national football league,tom benson,341580,0,unknown,start
national football league,list of american football league players,343032,0,high,list
national football league,ralph wilson,343209,0,top,start
national football league,george blanda,344221,0,top,start
national football league,charlie hennigan,345102,0,unknown,start
national football league,m&t bank stadium,345892,0,mid,start
national football league,chris chambers,351073,0,mid,c
national football league,albert j. ruffo,354716,0,unknown,start
national football league,harry jacunski,354875,0,unknown,stub
national football league,david woodley,354882,0,unknown,start
national football league,aloha stadium,357740,0,unknown,start
national football league,abner haynes,362519,0,unknown,start
national football league,irv kupcinet,364882,0,low,start
national football league,madden nfl,368118,0,mid,c
national football league,larry grantham,368570,0,unknown,stub
national football league,quincy carter,370343,0,unknown,start
national football league,ron mcdole,373402,0,unknown,start
national football league,donovan mcnabb,380210,0,high,b
national football league,raymond berry,385656,0,top,b
national football league,butch byrd,386161,0,unknown,stub
national football league,jack horrigan,386171,0,low,stub
national football league,tom osborne,389746,0,unknown,start
national football league,deuce mcallister,391578,0,unknown,start
national football league,george preston marshall,394816,0,top,start
national football league,carl weathers,394823,0,low,start
national football league,don maynard,397814,0,top,start
national football league,harlon hill,398734,0,unknown,start
national football league,bob griese,399875,0,top,c
national football league,lou saban,401592,0,high,ga
national football league,jerry rice,402607,0,top,c
national football league,al michaels,402659,0,mid,c
national football league,otto graham,407078,0,top,fa
national football league,miller farr,407369,0,unknown,start
national football league,darrell green,407613,0,top,c
national football league,darren woodson,412685,0,unknown,start
national football league,brooklyn dodgers (nfl),414163,0,high,c
national football league,kurt warner,414302,0,high,b
national football league,jason elam,417211,0,mid,c
national football league,weeb ewbank,420030,0,top,b
national football league,edd roush,420560,0,unknown,start
national football league,paul hornung,423762,0,top,c
national football league,bob st. clair,426198,0,top,start
national football league,fred dean,426201,0,top,start
national football league,bob talamini,426759,0,unknown,start
national football league,super bowl xxxviii,427707,0,high,b
national football league,terrell owens,428819,0,top,c
national football league,michael vick,428979,0,high,ga
national football league,ricky williams,429067,0,mid,b
national football league,peyton manning,429833,0,top,ga
national football league,passer rating,430176,0,mid,start
national football league,matt snell,430580,0,unknown,start
national football league,immaculate reception,430985,0,low,b
national football league,dave grayson,434356,0,unknown,start
national football league,bill goldberg,435986,0,low,c
national football league,tecmo bowl,437210,0,low,c
national football league,ricky manning,437932,0,unknown,start
national football league,mike vanderjagt,438637,0,mid,start
national football league,adam vinatieri,440001,0,high,b
national football league,babe parilli,443314,0,unknown,start
national football league,gillette stadium,445102,0,mid,start
national football league,jake delhomme,445271,0,mid,b
national football league,elroy hirsch,445854,0,top,b
national football league,frank gifford,445861,0,top,c
national football league,paul rochester,446078,0,unknown,stub
national football league,lawrence taylor,448584,0,top,ga
national football league,randy moss,449268,0,top,b
national football league,michael irvin,449874,0,top,start
national football league,ray lewis,449982,0,top,c
national football league,billy johnson (gridiron football),453660,0,unknown,start
national football league,santana moss,453710,0,unknown,start
national football league,afl–nfl merger,453767,0,top,b
national football league,jim brown,453868,0,top,c
national football league,laveranues coles,454047,0,unknown,start
national football league,tampa stadium,458022,0,mid,b
national football league,pat summerall,459842,0,low,c
national football league,david akers,465494,0,low,c
national football league,ron mix,468125,0,top,start
national football league,bill bergey,481722,0,unknown,start
national football league,steve mariucci,482867,0,unknown,start
national football league,dat nguyen,484244,0,unknown,start
national football league,tony boselli,486590,0,unknown,start
national football league,sam mills,486593,0,high,start
national football league,steve smith sr.,486625,0,high,c
national football league,robert f. kennedy memorial stadium,487561,0,mid,c
national football league,joe gibbs,490927,0,top,c
national football league,wrigley field (los angeles),491319,0,low,c
national football league,john taylor (american football),492180,0,unknown,start
national football league,tight end,492481,0,mid,c
national football league,chuck bednarik,493658,0,top,start
national football league,dwight clark,493684,0,unknown,start
national football league,paul brown,493703,0,top,ga
national football league,torry holt,494560,0,top,c
national football league,roger staubach,495038,0,top,c
national football league,rod smart,496255,0,unknown,c
national football league,peter gent,498603,0,unknown,start
national football league,chris berman,501287,0,mid,start
national football league,terrell davis,505527,0,unknown,start
national football league,soldier field,509225,0,low,c
national football league,jesse burkett,522289,0,unknown,start
national football league,rod woodson,522648,0,top,c
national football league,james parrish,533108,0,unknown,stub
national football league,polo grounds,534386,0,mid,c
national football league,warren sapp,538870,0,top,start
national football league,new york brickley giants,539663,0,high,start
national football league,man mountain dean,539808,0,unknown,start
national football league,bruce smith (defensive end),540919,0,top,start
national football league,reggie white,540996,0,top,c
national football league,stephen davis (american football),548282,0,high,start
national football league,texas stadium,554063,0,unknown,start
national football league,marcus dixon,557809,0,unknown,start
national football league,austin gunsel,559553,0,unknown,stub
national football league,morten andersen,559565,0,top,start
national football league,jim foster (american football),561488,0,unknown,start
national football league,riverfront stadium,567405,0,unknown,start
national football league,scottish claymores,578447,0,mid,start
national football league,list of first overall national football league draft picks,588809,0,mid,list
national football league,franco harris,592763,0,top,c
national football league,pat tillman,595639,0,low,b
national football league,mike mcmahon (american football),595831,0,unknown,start
national football league,pete carroll,596801,0,high,c
national football league,henry carr,598087,0,unknown,start
national football league,boomer esiason,600933,0,unknown,start
national football league,red grange,605386,0,top,c
national football league,bill mathis,607289,0,unknown,start
national football league,earl faison,607934,0,unknown,start
national football league,winston hill,608962,0,unknown,start
national football league,houston antwine,610286,0,unknown,stub
national football league,mike williams (offensive lineman),610930,0,unknown,stub
national football league,billy cannon,611128,0,high,ga
national football league,len dawson,614220,0,top,start
national football league,draft (sports),616574,0,mid,c
national football league,alan autry,617425,0,unknown,start
national football league,eli manning,618376,0,high,c
national football league,nick saban,618468,0,mid,c
national football league,rhein fire,623158,0,mid,start
national football league,london monarchs,623253,0,mid,start
national football league,berlin thunder,623282,0,mid,start
national football league,foxboro stadium,624775,0,mid,start
national football league,bo jackson,625066,0,high,b
national football league,mercedes-benz superdome,626568,0,unknown,c
national football league,paul brown stadium,626623,0,unknown,start
national football league,everbank field,626654,0,mid,c
national football league,firstenergy stadium,626700,0,mid,start
national football league,heinz field,626713,0,mid,ga
national football league,amsterdam admirals,626920,0,mid,start
national football league,ronnie lott,628252,0,top,start
national football league,wally yonamine,629584,0,unknown,start
national football league,forbes field,632720,0,mid,ga
national football league,kingdome,634056,0,mid,start
national football league,george halas,634863,0,top,c
national football league,marshall faulk,635375,0,top,c
national football league,herschel walker,635876,0,high,b
national football league,edward j. debartolo jr.,635932,0,low,start
national football league,corey dillon,636758,0,unknown,start
national football league,mike rozier,637188,0,mid,start
national football league,larry munson,637304,0,unknown,c
national football league,tommy maddox,637374,0,mid,start
national football league,don shula,638055,0,top,c
national football league,keyshawn johnson,638094,0,unknown,start
national football league,danny white,638729,0,unknown,start
national football league,chad pennington,638986,0,mid,start
national football league,bruce smith (halfback),639775,0,unknown,start
national football league,archie manning,640658,0,mid,c
national football league,steve mcnair,640689,0,high,c
national football league,charles woodson,644559,0,top,c
national football league,troy brown,648793,0,unknown,start
national football league,bill belichick,648835,0,top,c
national football league,anquan boldin,649975,0,high,c
national football league,history of the national football league championship,656892,0,high,start
national football league,template:super bowl,657499,10,na,template
national football league,drew brees,657804,0,top,c
national football league,tommie smith,658484,0,low,start
national football league,template:nfl,658986,10,na,template
national football league,national football league players association,659016,0,high,fa
national football league,champ bailey,659318,0,high,start
national football league,wahoo mcdaniel,659323,0,low,c
national football league,art rooney,660289,0,top,c
national football league,elmer layden,663910,0,unknown,start
national football league,new york yanks,663984,0,high,stub
national football league,carl eller,664635,0,top,start
national football league,purple people eaters,664661,0,unknown,stub
national football league,jim colclough,665305,0,unknown,stub
national football league,expansion draft,665715,0,unknown,start
national football league,robert khayat,667198,0,unknown,stub
national football league,dick butkus,668365,0,top,c
national football league,jesse palmer,674055,0,low,start
national football league,don majkowski,674089,0,unknown,start
national football league,wayne huizenga,674228,0,unknown,start
national football league,priest holmes,676249,0,unknown,start
national football league,madden nfl 2004,676951,0,unknown,stub
national football league,al blozis,680372,0,unknown,start
national football league,mark brunell,682473,0,unknown,start
national football league,super bowl xxxix,685010,0,high,b
national football league,super bowl xl,685028,0,high,c
national football league,franklin field,689621,0,low,c
national football league,phil simms,690223,0,mid,ga
national football league,booker edgerson,694019,0,unknown,start
national football league,glenn davis (athlete),694336,0,low,start
national football league,jack losch,694362,0,unknown,stub
national football league,ben roethlisberger,699349,0,high,c
national football league,barron hilton,699407,0,mid,start
national football league,edward j. king,705932,0,unknown,start
national football league,maurice clarett,706780,0,low,b
national football league,national football league draft,710502,0,high,b
national football league,new era field,711365,0,mid,start
national football league,rosey brown,715505,0,top,c
national football league,frankfurt galaxy,719508,0,mid,start
national football league,cologne centurions,719525,0,mid,start
national football league,bud adams,725274,0,unknown,start
national football league,category:american football league players,725457,14,na,category
national football league,world bowl,731118,0,low,start
national football league,milt campbell,731625,0,unknown,start
national football league,category:national football league players,732540,14,na,category
national football league,jack lummus,735267,0,unknown,start
national football league,sammy baugh,735304,0,top,c
national football league,three rivers stadium,737740,0,mid,ga
national football league,rosey grier,739384,0,unknown,start
national football league,randall cunningham,741338,0,high,start
national football league,hugh culverhouse,741363,0,mid,ga
national football league,mark rypien,746681,0,unknown,start
national football league,leonardo carson,751119,0,unknown,stub
national football league,norm van brocklin,751354,0,top,b
national football league,ford field,752260,0,mid,start
national football league,georgia dome,752278,0,mid,c
national football league,raymond james stadium,752288,0,low,c
national football league,rca dome,752310,0,mid,c
national football league,griffith stadium,753216,0,mid,c
national football league,atlanta–fulton county stadium,754364,0,unknown,start
national football league,pontiac silverdome,754366,0,unknown,start
national football league,pitt stadium,759473,0,low,b
national football league,pinball clemons,759681,0,low,c
national football league,alumni stadium,759825,0,unknown,start
national football league,city stadium (green bay),760038,0,unknown,start
national football league,don hutson,760201,0,top,ga
national football league,chuck noll,762317,0,top,c
national football league,joseph carr,763045,0,top,c
national football league,ed o'neill,763936,0,low,start
national football league,tom benson hall of fame stadium,763976,0,unknown,stub
national football league,ernie nevers,764032,0,top,b
national football league,jim plunkett,764618,0,high,c
national football league,harvard stadium,765891,0,low,start
national football league,ken anderson (quarterback),769655,0,high,start
national football league,ottis anderson,769662,0,unknown,start
national football league,e. j. holub,770989,0,unknown,start
national football league,fred arbanas,771008,0,unknown,start
national football league,clem daniels,771024,0,unknown,start
national football league,vincent jackson,772526,0,unknown,start
national football league,nfl 2k,772884,0,unknown,start
national football league,o. j. santiago,774350,0,unknown,start
national football league,deacon jones,774364,0,top,c
national football league,jon morris,774929,0,unknown,start
national football league,jim tyrer,776385,0,unknown,start
national football league,john capel,779749,0,low,start
national football league,ernie ladd,779822,0,unknown,start
national football league,brian pillman,782413,0,unknown,start
national football league,jim norton (safety),788713,0,unknown,start
national football league,bart starr,788823,0,top,c
national football league,curtis martin,793335,0,top,c
national football league,archie griffin,794483,0,unknown,start
national football league,nfl network,794716,0,mid,c
national football league,carl storck,794856,0,unknown,stub
national football league,ed budde,797394,0,unknown,start
national football league,frank mcrae,799329,0,unknown,stub
national football league,esera tuaolo,805676,0,low,start
national football league,oran pape,806514,0,unknown,start
national football league,lynn swann,827782,0,top,b
national football league,myron cope,834425,0,low,ga
national football league,phil bengtson,834535,0,unknown,start
national football league,category:national football league,841731,14,na,category
national football league,brian bosworth,848809,0,unknown,start
national football league,david mccarty,850256,0,unknown,start
national football league,julius peppers,852514,0,unknown,c
national football league,jack del rio,852633,0,unknown,start
national football league,jim otto,852869,0,top,start
national football league,tim brown (american football),854062,0,top,c
national football league,rich gannon,854089,0,high,b
national football league,fred biletnikoff,854115,0,top,b
national football league,sonny jurgensen,854680,0,top,c
national football league,red mccombs,855728,0,unknown,start
national football league,david carr (american football),857322,0,mid,start
national football league,daunte culpepper,870689,0,mid,c
national football league,lee roy selmon,870798,0,top,start
national football league,arthur blank,873535,0,unknown,start
national football league,barcelona dragons,874137,0,mid,start
national football league,billy evans,876157,0,low,b
national football league,alex karras,880255,0,high,c
national football league,jerome bettis,881747,0,high,c
national football league,jessie tuggle,881904,0,unknown,stub
national football league,joe bellino,882301,0,unknown,start
national football league,aeneas williams,882837,0,top,start
national football league,derrick thomas,882920,0,top,start
national football league,dana stubblefield,882935,0,unknown,start
national football league,kordell stewart,882971,0,mid,c
national football league,shannon sharpe,883018,0,top,start
national football league,tedy bruschi,884939,0,mid,c
national football league,ty law,885493,0,high,start
national football league,poe (mascot),885548,0,unknown,stub
national football league,mike tice,885627,0,unknown,start
national football league,sir purr,885655,0,unknown,stub
national football league,jan stenerud,887982,0,top,start
national football league,jim neidhart,888715,0,low,start
national football league,drew bledsoe,896988,0,high,c
national football league,junior seau,901032,0,top,c
national football league,deion sanders,901141,0,top,c
national football league,john randle,901243,0,top,start
national football league,dan fouts,905830,0,top,b
national football league,list of professional american football drafts,907205,0,unknown,list
national football league,jack kent cooke,908464,0,unknown,start
national football league,category:national football league teams,908675,14,na,category
