wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
mathematics,aristotle,308,0,high,bplus
mathematics,alain connes,340,0,high,c
mathematics,arithmetic mean,612,0,high,c
mathematics,analysis of variance,634,0,high,c
mathematics,abacus,655,0,high,b
mathematics,albert einstein,736,0,high,ga
mathematics,algorithms (journal),742,0,low,start
mathematics,algorithm,775,0,top,b
mathematics,axiom of choice,840,0,top,b
mathematics,andrey markov,915,0,mid,start
mathematics,axiom,928,0,high,c
mathematics,absolute value,991,0,mid,b
mathematics,algebraically closed field,1018,0,high,c
mathematics,algorithms for calculating variance,1063,0,mid,start
mathematics,algebraic number,1158,0,high,c
mathematics,automorphism,1160,0,mid,start
mathematics,antisymmetric relation,1176,0,low,start
mathematics,angle,1196,0,high,b
mathematics,alan turing,1208,0,top,ga
mathematics,area,1209,0,high,b
mathematics,almost all,1309,0,mid,start
mathematics,associative property,1335,0,high,c
mathematics,kolmogorov complexity,1635,0,mid,b
mathematics,ibn al-haytham,1645,0,low,b
mathematics,arabic numerals,1786,0,mid,b
mathematics,augustin-louis cauchy,1842,0,top,b
mathematics,archimedes,1844,0,top,fa
mathematics,archimedean solid,1847,0,mid,c
mathematics,antiprism,1851,0,low,start
mathematics,anthemius of tralles,1873,0,low,start
mathematics,algebraic geometry,1997,0,top,b
mathematics,andré weil,2019,0,top,b
mathematics,atle selberg,2021,0,high,c
mathematics,andrew wiles,2027,0,mid,c
mathematics,alexander grothendieck,2042,0,top,b
mathematics,associative algebra,2112,0,mid,start
mathematics,axiom of regularity,2113,0,low,b
mathematics,algebraic extension,2125,0,mid,start
mathematics,analytic geometry,2202,0,top,b
mathematics,analog computer,2428,0,mid,b
mathematics,acceleration,2443,0,mid,c
mathematics,automated theorem proving,2546,0,low,start
mathematics,annals of mathematics,2785,0,high,c
mathematics,antiderivative,2823,0,mid,start
mathematics,ackermann function,2925,0,low,b
mathematics,convex uniform honeycomb,2961,0,low,b
mathematics,abstraction,2972,0,high,c
