wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
formula one,aston martin,2369,0,low,c
formula one,bugatti,4497,0,low,start
formula one,brabham,4996,0,top,fa
formula one,circuit park zandvoort,7767,0,mid,start
formula one,formula one,10854,0,top,b
formula one,melbourne grand prix circuit,10945,0,high,start
formula one,monaco grand prix,10946,0,top,c
formula one,jack brabham,16564,0,top,b
formula one,michael schumacher,20396,0,top,ga
formula one,mclaren,20994,0,top,c
formula one,nürburgring,22122,0,top,c
formula one,williams grand prix engineering,34104,0,top,b
formula one,alain prost,36917,0,top,fa
formula one,alfa romeo,37527,0,high,c
formula one,riccardo patrese,38875,0,mid,start
formula one,minardi,40479,0,low,b
formula one,niki lauda,40486,0,top,c
formula one,jochen rindt,45388,0,high,fa
formula one,circuit paul ricard,48379,0,high,start
formula one,juan manuel fangio,48532,0,top,b
formula one,pirelli,49662,0,low,start
formula one,manfred winkelhock,49960,0,low,start
formula one,racing,50857,0,high,start
formula one,autosport,52241,0,mid,start
formula one,enzo ferrari,60090,0,high,c
formula one,mika häkkinen,63073,0,top,b
formula one,maserati,63971,0,high,start
formula one,jacques villeneuve,64258,0,high,b
formula one,damon hill,78249,0,high,fa
formula one,matra,80980,0,high,start
formula one,gilles villeneuve,86632,0,high,ga
formula one,mike hawthorn,128171,0,high,start
formula one,ayrton senna,146638,0,top,b
formula one,indianapolis 500,159018,0,high,b
formula one,jacky ickx,159975,0,mid,c
formula one,cosworth,164104,0,high,start
formula one,juan pablo montoya,164992,0,mid,b
formula one,paul stoddart,167568,0,low,start
formula one,scuderia ferrari,173009,0,top,b
formula one,avus,176958,0,low,start
formula one,jim clark,181892,0,top,b
formula one,nelson piquet,204645,0,top,c
formula one,john surtees,215196,0,high,start
formula one,indianapolis motor speedway,227965,0,mid,b
formula one,nigel mansell,228615,0,high,b
formula one,a. j. foyt,228648,0,low,c
formula one,keke rosberg,230197,0,high,start
formula one,kimi räikkönen,234756,0,high,b
formula one,bmw in formula one,239002,0,mid,c
formula one,renault in formula one,240378,0,top,b
formula one,fernando alonso,240390,0,top,b
formula one,british american racing,240552,0,mid,b
formula one,emerson fittipaldi,241678,0,top,b
formula one,jody scheckter,243054,0,high,start
formula one,colin chapman,244333,0,high,b
formula one,alberto ascari,246121,0,top,start
formula one,graham hill,246186,0,top,b
formula one,stirling moss,247310,0,high,b
formula one,pierre levegh,247325,0,mid,start
formula one,canadian grand prix,247636,0,high,c
formula one,fédération internationale de l'automobile,248019,0,top,c
formula one,united states grand prix,248865,0,high,start
formula one,list of formula one constructors,248994,0,top,b
formula one,list of formula one circuits,248995,0,top,fl
formula one,fuji speedway,249152,0,mid,start
formula one,european grand prix,252629,0,mid,start
formula one,lancia,252690,0,high,start
formula one,rubens barrichello,252989,0,high,b
formula one,alan jones (racing driver),255129,0,high,start
formula one,denny hulme,262934,0,high,b
formula one,mario andretti,271425,0,high,ga
formula one,james hunt,287740,0,high,b
formula one,australian grand prix,291626,0,high,b
formula one,jackie stewart,294240,0,top,b
formula one,british grand prix,294253,0,top,b
formula one,race track,301925,0,low,start
formula one,regenerative brake,305992,0,low,start
formula one,malaysian grand prix,309599,0,high,start
formula one,ralf schumacher,315472,0,mid,b
formula one,martini racing,327064,0,low,start
formula one,chinese grand prix,339308,0,high,start
formula one,japanese grand prix,341377,0,high,start
formula one,hungarian grand prix,341537,0,high,start
formula one,phil hill,341545,0,high,start
formula one,jean alesi,341553,0,mid,start
formula one,martin brundle,341560,0,mid,c
formula one,tyrrell racing,342015,0,high,start
formula one,olivier gendebien,342234,0,low,start
formula one,giuseppe farina,342972,0,high,start
formula one,johnny herbert,342991,0,mid,start
formula one,andrea de cesaris,342999,0,mid,c
formula one,tiff needell,343003,0,low,c
formula one,christian fittipaldi,343014,0,low,start
formula one,roland ratzenberger,343022,0,mid,start
formula one,raymond sommer,343281,0,low,start
formula one,pacific grand prix,343306,0,mid,start
formula one,gerhard berger,343833,0,high,c
formula one,french grand prix,347436,0,mid,start
formula one,alex zanardi,348734,0,low,c
formula one,swiss grand prix,349637,0,mid,start
formula one,german grand prix,349775,0,top,start
formula one,belgian grand prix,351087,0,top,start
formula one,porsche 718,387405,0,low,c
formula one,ronnie peterson,387446,0,high,c
formula one,donington park,391884,0,mid,start
formula one,bernie ecclestone,411352,0,top,c
formula one,olivier panis,414513,0,mid,start
formula one,portuguese grand prix,415078,0,mid,start
formula one,takuma sato,422325,0,low,start
formula one,maurice trintignant,423739,0,mid,start
formula one,eddie irvine,424417,0,mid,b
formula one,vanwall,445654,0,high,start
formula one,benetton formula,445741,0,high,start
formula one,carroll shelby,447698,0,low,start
formula one,fair park,453773,0,low,b
formula one,jordan grand prix,458472,0,mid,c
formula one,bruce mclaren,475903,0,mid,start
formula one,bahrain grand prix,511204,0,high,start
formula one,san marino grand prix,511282,0,mid,start
formula one,italian grand prix,511451,0,top,start
formula one,cooper car company,513463,0,high,start
formula one,watkins glen international,518142,0,mid,c
formula one,chris amon,518391,0,mid,b
formula one,gijs van lennep,520229,0,low,start
formula one,ukyo katayama,520249,0,low,start
formula one,silverstone circuit,522676,0,top,b
formula one,surtees,523126,0,low,start
formula one,liberty media,523905,0,low,start
formula one,template:formula one races,524331,10,na,template
formula one,spanish grand prix,526356,0,high,start
formula one,murray walker,528977,0,high,c
formula one,tyrrell p34,542820,0,mid,start
formula one,john cooper (car maker),543721,0,high,start
formula one,jenson button,548212,0,high,b
formula one,dan gurney,554522,0,mid,b
formula one,hermann tilke,560012,0,mid,start
formula one,mark webber,564161,0,mid,ga
formula one,quin epperly,581264,0,mid,stub
formula one,françois cevert,598118,0,mid,start
formula one,innes ireland,602101,0,mid,start
formula one,max mosley,606199,0,high,ga
formula one,flavio briatore,614426,0,high,c
formula one,circuit de barcelona-catalunya,614878,0,high,start
formula one,ignazio giunti,616438,0,low,stub
