wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
comics,the amazing spider-man,931,0,high,c
comics,asterix,2101,0,top,c
comics,al capp,3012,0,mid,c
comics,the beverly hillbillies,3376,0,low,c
comics,beavis and butt-head,3427,0,low,c
comics,bal thackeray,3780,0,bottom,c
comics,barb wire,3836,0,low,stub
comics,bill watterson,4032,0,high,b
comics,batman,4335,0,top,c
comics,the beano,4653,0,high,start
comics,bill holbrook,4669,0,low,stub
comics,batman (1989 film),4726,0,mid,ga
comics,batman (1966 film),4727,0,low,start
comics,batman returns,4728,0,low,ga
comics,batman & robin (film),4729,0,low,ga
comics,batman forever,4730,0,low,ga
comics,batman: year one,4731,0,mid,c
comics,comic strip,5704,0,top,c
comics,continuity (fiction),5899,0,high,start
comics,calvin and hobbes,6059,0,top,c
comics,comic book,6231,0,top,c
comics,list of cartoonists,6256,0,high,list
comics,cartoon,7165,0,top,start
comics,carl barks,7345,0,top,c
comics,chris cunningham,7400,0,bottom,start
comics,clark kent,7442,0,mid,c
comics,clive barker,7573,0,low,c
comics,comic fantasy,7574,0,low,start
comics,captain america,7729,0,high,b
comics,professor x,7732,0,high,c
comics,david lynch,7891,0,low,c
comics,dilbert,8127,0,mid,b
comics,doonesbury,8243,0,top,b
comics,digimon,8835,0,mid,c
comics,dr. seuss,8855,0,mid,b
comics,don rosa,8927,0,mid,c
comics,daily planet,8964,0,mid,c
comics,dirkjan,8992,0,low,stub
comics,dan decarlo,9003,0,mid,start
comics,daisy duck,9020,0,low,start
comics,dc comics,9105,0,top,c
comics,fanzine,11101,0,mid,start
comics,fandom,11504,0,low,start
comics,fantastic four,11664,0,high,b
comics,forrest j ackerman,11740,0,mid,start
comics,garry trudeau,12367,0,high,c
comics,garfield,13022,0,mid,b
comics,gotham city,13090,0,mid,c
comics,galactus,13095,0,mid,c
comics,genosha,13098,0,low,start
comics,harlan ellison,13462,0,bottom,c
comics,h. r. giger,13713,0,low,c
comics,hergé,14317,0,high,ga
comics,huey, dewey, and louie,14356,0,low,start
comics,iceman (character),15505,0,high,c
comics,jan berglin,15740,0,mid,stub
comics,james thurber,16045,0,mid,c
comics,jack kirby,16556,0,top,b
comics,jean grey,16559,0,high,c
comics,judge dredd,16572,0,high,c
comics,the katzenjammer kids,16802,0,high,start
comics,frank kelly freas,16987,0,bottom,start
comics,kryptonite,17390,0,high,c
comics,latveria,17957,0,low,start
