wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
eastenders,eastenders,9995,0,,b
eastenders,den watts,350940,0,,b
eastenders,peggy mitchell,351587,0,,ga
eastenders,dimensions in time,366734,0,,c
eastenders,dennis rickman,842475,0,,start
eastenders,andrew collins (broadcaster),914558,0,,start
eastenders,sharon watts,950572,0,,b
eastenders,walford,1031873,0,,start
eastenders,gurpreet kaur bhatti,1311593,0,,stub
eastenders,paul trueman,1508369,0,,start
eastenders,patrick trueman,1508600,0,,c
eastenders,anthony trueman,1508633,0,,start
eastenders,roy boulter,1551433,0,,start
eastenders,charlie slater,1553759,0,,c
eastenders,mo harris,1557232,0,,start
eastenders,little mo mitchell,1557263,0,,start
eastenders,arthur fowler,1576392,0,,b
eastenders,chrissie watts,1619347,0,,ga
eastenders,andy hunter (eastenders),1619380,0,,start
eastenders,nana moon,1669895,0,,start
eastenders,yolande trueman,1682402,0,,start
eastenders,alfie moon,1682924,0,,c
eastenders,category:eastenders characters,1683859,14,,category
eastenders,harold legg,1688005,0,,b
eastenders,file:eastendersearly.jpg,1753917,6,,file
eastenders,dot cotton,1790475,0,,ga
eastenders,matthew robinson (producer),1844806,0,,start
eastenders,julia smith,1912086,0,,start
eastenders,list of eastenders characters,1925533,0,,list
eastenders,mark fowler,1963654,0,,b
eastenders,pauline fowler,1963680,0,,fa
eastenders,file:eastenders revealed01.gif,1973080,6,,file
eastenders,file:eastenders xtra.jpg,1977406,6,,file
eastenders,kat slater,1980899,0,,b
eastenders,ian beale,1983108,0,,b
eastenders,pat butcher,1997034,0,,c
eastenders,category:eastenders,1997757,14,,category
eastenders,the queen victoria,2003693,0,,start
eastenders,andy o'brien (eastenders),2051427,0,,c
eastenders,danny moon,2052459,0,,start
eastenders,jim branning,2064194,0,,start
eastenders,jake moon,2064225,0,,start
eastenders,sonia fowler,2293759,0,,c
eastenders,glen mccoy,2303986,0,,stub
eastenders,angie watts,2313629,0,,b
eastenders,angellica bell,2340542,0,,stub
eastenders,sam mitchell (eastenders),2342497,0,,b
eastenders,the firm (eastenders),2351718,0,,start
eastenders,tony jordan,2370071,0,,start
eastenders,eastenders spin-offs,2373345,0,,start
eastenders,tony holland,2384728,0,,start
eastenders,simon ashdown,2395994,0,,start
eastenders,rob gittins,2396136,0,,stub
eastenders,sarah phelps,2400023,0,,stub
eastenders,phil mitchell,2402234,0,,b
eastenders,sharongate,2409685,0,,c
