wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
asia,afroasiatic languages,599,0,high,start
asia,asia,689,0,top,c
asia,afghanistan,737,0,top,b
asia,azerbaijan,746,0,top,ga
asia,bangladesh,3454,0,top,b
asia,china,5405,0,top,ga
asia,geography of cyprus,5595,0,mid,start
asia,cyrillic script,5639,0,mid,b
asia,central asia,6742,0,top,c
asia,far east,11672,0,high,start
asia,huns,13519,0,unknown,b
asia,history of asia,14097,0,high,c
asia,hazaras,14131,0,mid,c
asia,india,14533,0,top,fa
asia,indo-iranian languages,14541,0,low,start
asia,iran,14653,0,high,b
asia,indo-european languages,14848,0,high,c
asia,western imperialism in asia,15443,0,high,start
asia,japan,15573,0,top,fa
asia,joseph stalin,15641,0,mid,b
asia,korea,16749,0,top,c
asia,common kestrel,17044,0,mid,b
asia,lebanon,17771,0,top,b
asia,mongols,18984,0,high,c
asia,maldives,19117,0,top,c
asia,mongolia,19271,0,top,c
asia,middle east,19323,0,top,c
asia,north korea,21255,0,top,b
asia,pakistan,23235,0,high,b
asia,russia,25391,0,top,b
asia,taiwan,25734,0,top,c
asia,rat,26471,0,mid,b
asia,sri lanka,26750,0,top,b
asia,south korea,27019,0,top,b
asia,singapore,27318,0,top,b
asia,southeast asia,28741,0,top,b
asia,siberia,29639,0,high,b
asia,tibetan buddhism,30988,0,mid,b
asia,bread,36969,0,high,c
asia,asian games,39205,0,high,c
asia,orientalism,39301,0,high,c
asia,georgia (country),48768,0,high,b
asia,euro-atlantic partnership council,54022,0,low,start
asia,inner mongolia,55064,0,unknown,c
asia,przewalski's horse,57416,0,mid,b
asia,buryats,57701,0,top,c
asia,ulaanbaatar,67397,0,high,c
asia,list of rivers of asia,69140,0,high,list
asia,south china sea,74209,0,high,b
asia,palestinian territories,96665,0,top,c
asia,crore,121420,0,low,start
asia,old world,143913,0,low,start
asia,languages of asia,147426,0,high,start
asia,outer mongolia,147471,0,mid,start
asia,golden horde,147911,0,unknown,c
asia,asian americans,148898,0,low,b
asia,maharaja,150061,0,low,c
asia,eastern philosophy,151419,0,mid,c
asia,musaceae,152688,0,low,start
asia,kim jong-il,154099,0,mid,b
asia,mongolian language,154909,0,top,ga
asia,mongolian,165696,0,na,disambig
asia,nepal,171166,0,high,b
asia,palearctic realm,180223,0,low,start
asia,khanate of sibir,186364,0,unknown,c
asia,kalmyks,192420,0,unknown,c
asia,desert wheatear,195264,0,low,start
asia,pure land buddhism,197710,0,high,c
asia,north asia,209988,0,top,start
asia,christian lassen,212402,0,low,start
asia,jungle crow,222079,0,low,start
asia,mongol empire,240146,0,high,b
asia,orient,241261,0,high,c
asia,afc asian cup,250683,0,high,b
asia,james darmesteter,251140,0,low,start
asia,common pochard,251457,0,low,start
asia,tufted duck,252020,0,low,start
asia,dervla murphy,271821,0,low,c
asia,pagoda,287061,0,mid,c
asia,jōdo shinshū,293940,0,low,start
asia,asian cuisine,294770,0,mid,list
asia,dzungar khanate,296757,0,unknown,c
asia,comfort women,302767,0,high,b
asia,petroglyph,305738,0,low,c
asia,intervision song contest,314340,0,low,c
asia,music of mongolia,316469,0,mid,start
asia,reform movements in the muslim world,325137,0,unknown,b
asia,asian values,327630,0,mid,start
asia,ancient art,334825,0,mid,start
asia,tawny pipit,339945,0,low,start
asia,eurasian plate,340651,0,unknown,stub
asia,victory over japan day,365519,0,low,start
asia,list of islands in the mediterranean,376710,0,low,list
asia,royal society for asian affairs,377697,0,low,stub
asia,jew's harp,378905,0,mid,start
asia,comecon,384307,0,mid,start
asia,western asia,399656,0,unknown,c
asia,death by sawing,401753,0,low,c
asia,yumjaagiin tsedenbal,404994,0,low,start
asia,levirate marriage,407159,0,low,start
asia,hydraulic empire,423682,0,low,start
asia,inner asia,426875,0,low,start
asia,mongolian people's party,427476,0,unknown,c
asia,moghol language,433054,0,low,stub
asia,music of asia,440310,0,low,stub
asia,junko tabei,451996,0,mid,c
asia,caucasian race,465626,0,mid,b
asia,swedish east india company,468998,0,low,c
asia,template:asia-pacific economic cooperation,484087,10,na,template
asia,trans-asian railway,498807,0,low,start
asia,asia cup,512257,0,low,start
asia,selenga river,512708,0,low,stub
asia,northeast asia,536762,0,mid,start
asia,ilkhanate,542300,0,unknown,c
asia,mongolian death worm,567012,0,low,c
asia,template:countries of asia,577112,10,na,template
asia,charles b. wang center,596630,0,low,stub
asia,damdin sükhbaatar,602344,0,low,c
asia,chagos archipelago,606101,0,low,c
asia,peros banhos,606141,0,low,start
asia,khanate of kazan,607902,0,unknown,c
asia,masked shrike,614165,0,low,fa
asia,list of state leaders in 1789,622633,0,low,list
asia,list of state leaders in 1790,622637,0,low,list
asia,asian highway network,624166,0,high,c
asia,list of state leaders in 1865,627429,0,low,list
asia,list of state leaders in 1999,627527,0,low,list
asia,miat mongolian airlines,642439,0,low,start
asia,tooth painting,648558,0,low,stub
asia,petasites hybridus,655650,0,low,start
asia,aurignacian,659128,0,low,start
asia,lists of hospitals in asia,672462,0,low,list
asia,provinces of mongolia,689678,0,mid,list
asia,seattle asian art museum,690579,0,low,stub
asia,category:east asian countries,693418,14,na,category
asia,category:afghanistan,696645,14,na,category
asia,category:asia,697006,14,na,category
asia,category:iran,699429,14,na,category
asia,category:afroasiatic languages,700449,14,na,category
asia,category:india,706156,14,na,category
asia,category:asian art,707631,14,na,category
asia,asian football confederation,715249,0,high,c
asia,category:palestine (region),717116,14,na,category
asia,category:taiwan,724632,14,na,category
asia,chagossians,727770,0,low,start
asia,category:mongolian music,728252,14,na,category
asia,society of mary (marianists),732633,0,low,c
asia,category:companies of asia,736562,14,na,category
asia,category:mongolia,739246,14,na,category
asia,buryatia,741441,0,unknown,c
asia,category:middle east,743029,14,na,category
asia,category:middle eastern countries,743058,14,na,category
asia,category:zen,754318,14,na,category
asia,category:north korea,755059,14,na,category
asia,qoo,762692,0,low,stub
asia,greco-buddhist art,774727,0,mid,b
asia,list of world heritage sites in asia,774842,0,low,list
asia,royal asiatic society of great britain and ireland,777291,0,unknown,start
asia,tabun-khara-obo crater,780556,0,low,stub
asia,2004 afc asian cup,781339,0,mid,start
asia,arkhangai province,791099,0,low,start
asia,darkhan-uul province,791153,0,low,stub
asia,dornogovi province,791166,0,low,stub
asia,govisümber province,791181,0,low,stub
asia,khovd province,791215,0,low,start
asia,khövsgöl province,791224,0,low,start
asia,orkhon province,791233,0,low,stub
asia,selenge province,791249,0,low,start
asia,sükhbaatar province,791267,0,low,start
asia,töv province,791290,0,low,start
asia,uvs province,791296,0,low,start
asia,zavkhan province,791309,0,low,start
asia,erdenet,791359,0,low,stub
asia,khalkha mongols,791417,0,unknown,c
asia,category:korea,804531,14,na,category
asia,list of asian jews,846994,0,low,list
asia,extreme points of asia,865765,0,low,stub
asia,category:languages of asia,877242,14,na,category
asia,category:tibetan buddhism,882605,14,na,category
asia,kalmykia,890918,0,top,c
asia,category:history of the middle east,895924,14,na,category
asia,category:christmas island,901752,14,na,category
asia,wheeler thackston,910309,0,low,start
asia,hunnic language,937997,0,unknown,b
asia,category:languages of mongolia,947093,14,na,category
asia,chagatai khanate,952728,0,unknown,c
asia,1992 afc asian cup,963125,0,mid,start
asia,crimean khanate,966167,0,unknown,c
asia,category:capitals in asia,981587,14,na,category
asia,list of indo-european languages,983047,0,unknown,
asia,category:volcanoes of asia,992336,14,na,category
asia,maidan,1001026,0,na,disambig
asia,1956 afc asian cup,1013446,0,mid,start
asia,1960 afc asian cup,1013449,0,mid,start
asia,1964 afc asian cup,1013451,0,mid,start
asia,1968 afc asian cup,1013452,0,mid,start
asia,1988 afc asian cup,1013461,0,mid,start
asia,1996 afc asian cup,1013464,0,mid,start
asia,2000 afc asian cup,1013467,0,mid,start
asia,category:asian newspapers,1018136,14,na,category
asia,yunani medicine,1043701,0,unknown,c
asia,list of state leaders in 1492,1065651,0,low,list
asia,category:indo-european,1071068,14,na,category
asia,category:hiking trails in asia,1076326,14,na,category
