wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
chemistry,alkane,639,0,top,b
chemistry,acid,656,0,top,c
chemistry,asphalt,657,0,low,c
chemistry,atom,902,0,top,fa
chemistry,alcohol,1014,0,top,b
chemistry,alloy,1187,0,high,c
chemistry,atomic orbital,1206,0,mid,b
chemistry,alpha decay,1267,0,mid,c
chemistry,aromatic hydrocarbon,1313,0,high,c
chemistry,amine,1412,0,high,start
chemistry,amide,1422,0,top,c
chemistry,antoine lavoisier,1822,0,high,b
chemistry,hermann kolbe,1825,0,high,start
chemistry,allotropy,1839,0,low,c
chemistry,absorption,1985,0,na,disambig
chemistry,aliphatic compound,2120,0,mid,start
chemistry,alkaloid,2341,0,top,b
chemistry,anode,2392,0,mid,start
chemistry,adhesive,2396,0,mid,c
chemistry,analytical chemistry,2408,0,top,c
chemistry,alkene,2761,0,high,b
chemistry,allene,2762,0,low,start
chemistry,alkyne,2763,0,high,b
chemistry,acrylic paint,2838,0,low,start
chemistry,atomic theory,2844,0,top,ga
chemistry,alkali,2955,0,high,start
chemistry,acid–base reaction,3038,0,top,b
chemistry,amyl alcohol,3045,0,mid,start
chemistry,atomic weight,3230,0,top,start
chemistry,brass,3292,0,mid,c
chemistry,bauxite,3760,0,mid,c
chemistry,biochemistry,3954,0,top,b
chemistry,bicarbonate,3982,0,high,start
chemistry,base,4011,0,na,disambig
chemistry,bronze,4169,0,mid,c
chemistry,beta-lactam,4427,0,mid,c
chemistry,bunsen burner,4924,0,mid,c
chemistry,chemistry,5180,0,top,b
chemistry,chemical equilibrium,5306,0,high,c
chemistry,colloid,5346,0,high,b
chemistry,chemist,5636,0,high,b
chemistry,combustion,5638,0,high,c
chemistry,chemical element,5659,0,top,c
chemistry,chalcogen,5905,0,mid,c
chemistry,cyanide,5910,0,high,b
chemistry,carbonate,5912,0,high,start
chemistry,catalysis,5914,0,top,c
chemistry,chemical thermodynamics,5936,0,high,c
chemistry,chemical bond,5993,0,top,c
chemistry,crystal,6015,0,high,c
chemistry,computational chemistry,6019,0,top,b
chemistry,cahn–ingold–prelog priority rules,6034,0,mid,start
chemistry,chemical engineering,6038,0,mid,b
chemistry,carboxylic acid,6099,0,top,b
chemistry,chemical vapor deposition,6111,0,mid,c
chemistry,charles sanders peirce,6117,0,low,b
chemistry,carnot heat engine,6118,0,mid,c
chemistry,covalent bond,6246,0,high,b
chemistry,condensation polymer,6247,0,low,start
chemistry,chemical reaction,6271,0,top,b
chemistry,classical element,6313,0,mid,c
chemistry,chromatography,6329,0,high,b
chemistry,cement,6670,0,low,b
chemistry,cresu experiment,6839,0,low,start
chemistry,outline of chemistry,6896,0,top,list
chemistry,cathode,6944,0,mid,start
chemistry,chirality (disambiguation),6946,0,na,disambig
chemistry,chemical formula,7043,0,high,start
chemistry,chemical affinity,7225,0,low,start
chemistry,coordination complex,7304,0,high,b
chemistry,hypothetical types of biochemistry,7316,0,low,start
chemistry,coal tar,7466,0,mid,c
chemistry,concentration,7512,0,high,start
chemistry,calorimetry,7522,0,mid,start
chemistry,carbide,7739,0,mid,c
chemistry,claude louis berthollet,7787,0,high,start
chemistry,crystallography,7794,0,high,c
chemistry,chain reaction,7834,0,mid,start
chemistry,crystallographic defect,7849,0,mid,c
chemistry,diatomic molecule,7938,0,mid,start
chemistry,timeline of chemical element discoveries,8200,0,mid,c
chemistry,dissociation constant,8263,0,high,b
chemistry,distillation,8301,0,high,b
chemistry,dipole,8378,0,mid,start
chemistry,diene,8905,0,mid,start
chemistry,ether,9263,0,high,b
chemistry,electron,9476,0,high,fa
chemistry,electrochemistry,9601,0,high,b
chemistry,ernest rutherford,9603,0,high,c
chemistry,ester,9675,0,high,c
chemistry,electronegativity,9707,0,high,b
chemistry,electron counting,9890,0,high,b
chemistry,entropy,9891,0,high,b
chemistry,electrode,10008,0,low,start
chemistry,empirical formula,10065,0,mid,stub
chemistry,exothermic process,10201,0,mid,start
chemistry,enthalpy,10274,0,top,c
chemistry,emulsion,10290,0,mid,c
chemistry,evaporation,10303,0,high,start
chemistry,electrochemical cell,10339,0,high,start
chemistry,fullerene,10628,0,high,b
chemistry,friedrich wöhler,10777,0,top,c
chemistry,functional group,10911,0,top,start
chemistry,fat,11042,0,high,start
chemistry,fire,11145,0,top,b
chemistry,august kekulé,11469,0,high,start
chemistry,filtration,11665,0,mid,start
chemistry,fuel cell,11729,0,mid,b
chemistry,field ion microscope,11774,0,low,start
chemistry,frederick soddy,11778,0,high,c
chemistry,food additive,11815,0,low,start
chemistry,georgius agricola,12475,0,mid,c
chemistry,cis–trans isomerism,12528,0,high,start
chemistry,galvanization,12858,0,mid,start
chemistry,gilbert n. lewis,13017,0,high,c
chemistry,glenn t. seaborg,13120,0,high,ga
chemistry,hydrocarbon,13257,0,high,c
chemistry,heteroatom,13605,0,low,stub
chemistry,hydrogen bond,13609,0,high,b
chemistry,hydroxide,13711,0,top,c
chemistry,heterocyclic compound,13734,0,high,start
chemistry,haber process,14022,0,high,b
chemistry,hydrophobe,14136,0,high,c
chemistry,humphry davy,14369,0,high,c
chemistry,hydrolysis,14385,0,top,c
chemistry,hydroxy group,14386,0,high,start
chemistry,henry moseley,14454,0,high,c
chemistry,harry kroto,14467,0,mid,b
chemistry,inorganic chemistry,14624,0,top,b
chemistry,international union of pure and applied chemistry,14870,0,high,ga
chemistry,ice,14946,0,mid,c
chemistry,ionic bonding,14951,0,high,c
chemistry,isoelectric point,15056,0,mid,start
chemistry,ivory,15165,0,mid,c
chemistry,irving langmuir,15362,0,high,b
chemistry,intermolecular force,15417,0,top,start
chemistry,compounds of carbon,15507,0,mid,start
chemistry,justus von liebig,16024,0,top,c
chemistry,john pople,16500,0,high,start
chemistry,johannes nicolaus brønsted,16510,0,high,start
chemistry,ketone,16803,0,high,b
chemistry,ketene,16804,0,high,start
chemistry,katal,17140,0,mid,stub
chemistry,liquid crystal,17973,0,mid,ga
chemistry,law of definite proportions,17981,0,mid,start
chemistry,lubricant,18069,0,low,start
chemistry,lonsdaleite,18087,0,mid,c
chemistry,law of multiple proportions,18339,0,mid,start
chemistry,ligand,18589,0,high,c
chemistry,international numbering system for food additives,18727,0,mid,list
chemistry,law of dilution,18728,0,mid,stub
chemistry,mole,18948,0,na,disambig
chemistry,metal,19042,0,top,c
chemistry,molecule,19555,0,top,c
chemistry,monomer,19583,0,high,start
chemistry,molecular orbital,19614,0,top,c
chemistry,materials science,19622,0,high,c
chemistry,michael faraday,19727,0,top,b
chemistry,molecular mass,19836,0,high,b
chemistry,metallic bonding,19838,0,high,c
chemistry,methyl group,19839,0,high,start
chemistry,monosaccharide,19919,0,high,start
chemistry,metallocene,20154,0,mid,c
chemistry,mole fraction,20306,0,mid,start
chemistry,muonium,20398,0,low,stub
chemistry,marie curie,20408,0,high,ga
chemistry,macrolide,20553,0,mid,start
chemistry,melting,20648,0,mid,start
chemistry,martin lowry,20964,0,mid,start
chemistry,nanotechnology,21488,0,high,b
chemistry,nitrate,21497,0,high,c
chemistry,nature,21830,0,top,ga
chemistry,neutronium,21868,0,low,start
chemistry,neutron activation analysis,21933,0,low,start
chemistry,nitronium ion,22009,0,low,start
chemistry,organic compound,22203,0,top,start
chemistry,organic chemistry,22208,0,top,b
chemistry,oxide,22305,0,high,start
chemistry,organometallic chemistry,22526,0,top,start
chemistry,optical brightener,22600,0,mid,start
chemistry,ostwald process,22830,0,high,start
chemistry,polymer,23001,0,high,b
chemistry,periodic table,23053,0,top,fa
chemistry,petroleum,23195,0,mid,b
chemistry,proton,23317,0,high,c
chemistry,protein,23634,0,high,ga
chemistry,physical chemistry,23635,0,top,c
chemistry,outline of physical science,23638,0,low,start
chemistry,gasoline,23639,0,mid,b
chemistry,phosphate,23690,0,top,start
chemistry,plasma ashing,23731,0,low,stub
chemistry,toxin,23740,0,mid,start
chemistry,peroxide,23747,0,mid,c
chemistry,paramagnetism,23750,0,mid,b
chemistry,paint,23776,0,low,c
chemistry,phenols,23865,0,mid,c
chemistry,polymerization,23872,0,high,start
chemistry,phlogiston theory,23886,0,mid,b
chemistry,paraffin wax,24006,0,high,c
chemistry,peptide bond,24446,0,high,b
chemistry,ph,24530,0,top,c
chemistry,pauli exclusion principle,24669,0,mid,b
chemistry,polyatomic ion,25073,0,mid,start
chemistry,quantum chemistry,25211,0,top,c
chemistry,radical,25888,0,na,disambig
chemistry,robert parr,26451,0,low,start
chemistry,rudolph pariser,26475,0,low,stub
chemistry,rust,26477,0,high,start
chemistry,roald hoffmann,26514,0,high,c
chemistry,salinity,26985,0,low,c
chemistry,smoke,27001,0,mid,c
chemistry,steel,27058,0,high,ga
chemistry,salt (chemistry),27558,0,high,start
chemistry,william crookes,27648,0,mid,c
chemistry,standard conditions for temperature and pressure,27745,0,high,b
chemistry,spectroscopy,27752,0,top,b
chemistry,structural isomer,27969,0,high,start
chemistry,stereoisomerism,27970,0,high,start
chemistry,simplified molecular-input line-entry system,28569,0,low,start
chemistry,list of synthetic polymers,28638,0,mid,list
chemistry,stoichiometry,28650,0,high,start
chemistry,solution,28729,0,top,c
chemistry,stereochemistry,28756,0,high,start
chemistry,cyanoacrylate,28936,0,mid,c
chemistry,transition metal,30364,0,high,start
chemistry,thermochemistry,30369,0,high,start
chemistry,tacticity,30941,0,mid,c
chemistry,titration,31260,0,top,start
chemistry,theoretical chemistry,31491,0,high,start
chemistry,vinyl group,32436,0,mid,start
chemistry,vapor,32505,0,high,start
chemistry,vladimir markovnikov,32555,0,low,start
chemistry,voltaic pile,32566,0,low,start
chemistry,walter gilbert,34051,0,mid,start
chemistry,william lipscomb,34108,0,low,c
chemistry,wilhelm ostwald,34131,0,high,c
chemistry,x-ray crystallography,34151,0,high,ga
chemistry,ziegler–natta catalyst,34477,0,high,c
chemistry,zwitterion,34522,0,high,start
chemistry,svante arrhenius,36586,0,high,c
chemistry,rotaxane,36603,0,mid,b
chemistry,combinatorial chemistry,36680,0,top,start
chemistry,silicate,36891,0,high,start
chemistry,peter debye,37067,0,high,b
chemistry,lars onsager,37175,0,high,c
chemistry,aldehyde,37329,0,high,b
chemistry,josiah willard gibbs,37332,0,high,fa
chemistry,linus pauling,37342,0,top,b
chemistry,relative density,37379,0,mid,start
chemistry,mole (unit),37400,0,top,c
chemistry,equilibrium,37425,0,na,disambig
chemistry,le chatelier's principle,37427,0,high,c
chemistry,solvent,37431,0,high,b
chemistry,depleted uranium,37514,0,low,b
chemistry,nucleophile,37637,0,high,c
chemistry,covalent radius,37706,0,low,start
chemistry,enthalpy of vaporization,37710,0,high,c
chemistry,electrolysis,38257,0,high,c
chemistry,max perutz,38262,0,high,c
chemistry,activation energy,38413,0,mid,start
chemistry,electrode potential,38415,0,mid,start
chemistry,half-reaction,38436,0,high,start
chemistry,oxidation state,38452,0,high,c
chemistry,particle (disambiguation),38781,0,na,disambig
chemistry,standard electrode potential (data page),38877,0,mid,list
chemistry,natural science,38890,0,high,c
chemistry,vulcanization,38998,0,mid,c
chemistry,robert s. mulliken,39049,0,mid,c
chemistry,geochemistry,39562,0,mid,start
chemistry,optical rotation,39774,0,mid,start
chemistry,joseph priestley,40176,0,mid,fa
chemistry,conjugate acid,40187,0,mid,start
chemistry,melting point,40283,0,high,b
chemistry,gel,41207,0,mid,c
chemistry,avogadro constant,41545,0,high,ga
chemistry,amedeo avogadro,42009,0,mid,c
chemistry,ionic crystal,42566,0,low,stub
chemistry,jacobus henricus van 't hoff,42909,0,high,c
chemistry,erlenmeyer flask,43956,0,low,start
chemistry,laboratory glassware,43958,0,mid,c
chemistry,calorimeter,43970,0,mid,c
chemistry,disulfide bond,43971,0,mid,b
chemistry,solvation,44041,0,high,start
chemistry,john dalton,44112,0,top,b
chemistry,positronium,44596,0,low,start
chemistry,biosafety,45259,0,low,b
chemistry,coordinate covalent bond,45708,0,high,c
chemistry,otto hahn,46825,0,high,b
chemistry,buffer solution,46999,0,high,start
chemistry,arrhenius equation,47011,0,mid,c
chemistry,carbon cycle,47503,0,high,b
chemistry,cloud,47515,0,low,c
chemistry,toxic heavy metal,47671,0,low,c
chemistry,fourier transform spectroscopy,47732,0,mid,start
chemistry,william ramsay,48187,0,high,start
