wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
video games,asteroids (video game),785,0,high,ga
video games,amiga,1980,0,high,c
video games,acorn electron,2078,0,low,c
video games,apple ii series,2116,0,high,c
video games,atari st,2141,0,high,c
video games,amstrad cpc,2197,0,high,c
video games,sid meier's alpha centauri,2215,0,mid,ga
video games,atari,2234,0,high,c
video games,atari 2600,2779,0,high,c
video games,atari 5200,2780,0,mid,start
video games,atari 7800,2781,0,high,start
video games,atari jaguar,2782,0,mid,c
video games,atari lynx,2783,0,mid,c
video games,dual wield,2943,0,low,c
video games,arcadia 2001,2959,0,mid,start
video games,alexey pajitnov,3017,0,high,c
video games,akira toriyama,3092,0,mid,ga
video games,puzzle bobble,4098,0,mid,start
video games,blizzard entertainment,4876,0,top,c
video games,bubble bobble,4965,0,mid,c
video games,video game,5363,0,top,b
video games,capcom,5422,0,top,c
video games,castle of the winds,6023,0,low,start
video games,civilization (video game),6259,0,high,c
video games,chrono trigger,6614,0,high,fa
video games,commodore 64,7293,0,high,b
video games,coleco,7305,0,mid,c
video games,colecovision,7306,0,high,start
video games,telstar (game console),7309,0,mid,start
video games,counter-strike (video game),7431,0,high,c
video games,fairchild channel f,7487,0,high,start
video games,commodore international,7580,0,high,c
video games,chrono cross,7840,0,mid,fa
video games,list of games based on dune,7896,0,low,list
video games,day of the tentacle,8090,0,mid,ga
video games,deus ex (video game),8484,0,high,ga
video games,doom (1993 video game),8521,0,high,c
video games,diablo ii,8556,0,high,c
video games,duke nukem 3d,8569,0,mid,c
video games,digimon,8835,0,mid,c
video games,duck hunt,8993,0,high,c
video games,dance dance revolution,9010,0,high,c
video games,doctor v64,9091,0,low,start
video games,everquest,10322,0,high,c
video games,exile (1995 video game series),10503,0,low,start
video games,final fantasy,10974,0,high,fa
video games,freeciv,11122,0,low,c
video games,final fantasy: the spirits within,11242,0,low,fa
video games,fasa,11758,0,mid,start
video games,f-zero: maximum velocity,11790,0,low,start
video games,game boy line,11979,0,high,start
video games,gary coleman,12230,0,low,c
video games,gradius (video game),12372,0,high,start
video games,gamemaster,12373,0,low,start
video games,game boy advance,12430,0,high,c
video games,game.com,12919,0,mid,start
video games,game boy color,13097,0,high,c
video games,heretic (video game),13611,0,low,start
video games,hexen: beyond heretic,13612,0,low,start
video games,hexen ii,13613,0,low,start
video games,heretic ii,13614,0,low,start
video games,handheld game console,14199,0,top,c
video games,hunt the wumpus,14323,0,mid,start
video games,infocom,14788,0,high,start
video games,interactive fiction,14789,0,high,b
video games,interactive fiction competition,15266,0,low,start
video games,intellivision,15309,0,high,c
video games,id software,15526,0,high,c
video games,joystick,16229,0,high,c
video games,kid icarus,16892,0,mid,ga
video games,konix multisystem,17411,0,low,c
video games,lionhead studios,17659,0,mid,start
video games,lysator,17721,0,low,stub
video games,lucasarts,17990,0,high,c
video games,lambdamoo,18221,0,mid,c
video games,microsoft,19001,0,high,b
video games,monkey island (series),19531,0,mid,c
video games,mud,19537,0,high,b
video games,mush,19542,0,mid,c
video games,machinima,19597,0,mid,ga
video games,maniac mansion,19668,0,high,fa
video games,mario kart,19680,0,high,c
video games,midi,19996,0,mid,c
video games,mattel,20642,0,mid,c
video games,microvision,20676,0,mid,start
video games,massively multiplayer online role-playing game,20844,0,top,b
video games,might and magic,20945,0,mid,start
video games,maxis,21049,0,mid,start
video games,nintendo,21197,0,top,b
video games,nights into dreams,21218,0,mid,fa
video games,nethack,21489,0,mid,c
video games,nintendo 64,21849,0,high,b
video games,virtual boy,21970,0,mid,b
video games,neo geo pocket,21977,0,mid,start
video games,neo geo (system),22011,0,high,c
video games,neo geo cd,22012,0,low,c
video games,neopets,22015,0,mid,c
video games,nuon (dvd technology),22042,0,low,c
video games,magnavox odyssey²,22560,0,high,start
video games,otaku,22722,0,mid,ga
video games,player character,23622,0,mid,start
video games,play-by-mail game,23654,0,mid,start
video games,pokémon,23745,0,high,c
video games,list of pokémon,23840,0,low,list
video games,playstation (console),23964,0,high,b
video games,penny arcade,24673,0,low,b
video games,philips cd-i,24883,0,low,c
video games,playdia,24913,0,low,start
video games,pc-fx,24929,0,mid,start
video games,philips videopac + g7400,24946,0,low,stub
video games,pong,24947,0,high,ga
video games,playstation 3,24951,0,high,b
video games,quakec,25207,0,low,start
video games,quake iii arena,25215,0,mid,c
video games,quake ii,25216,0,mid,start
video games,quake (video game),25266,0,high,c
video games,quest for glory,25292,0,mid,b
video games,role-playing game,25475,0,top,c
video games,raven software,25764,0,mid,c
video games,r-type,25913,0,mid,c
video games,radical dreamers,26055,0,low,fa
video games,rise of the triad,26559,0,low,start
video games,return to castle wolfenstein,26569,0,low,start
video games,red faction (video game),26570,0,mid,start
video games,sonic team,26800,0,mid,start
video games,starcraft (video game),26809,0,high,fa
video games,sony,26989,0,top,b
video games,sam & max,27766,0,mid,ga
video games,super mario kart,27801,0,high,ga
video games,serial experiments lain,28217,0,low,c
video games,super nintendo entertainment system,28314,0,high,b
video games,simon the sorcerer,28341,0,low,start
video games,square (company),28355,0,high,c
video games,sinclair ql,28418,0,low,start
video games,space quest,28694,0,mid,c
video games,simcity (1989 video game),28760,0,high,start
video games,samegame,28762,0,low,start
video games,game gear,29027,0,mid,ga
video games,32x,29028,0,mid,fa
video games,sega cd,29032,0,mid,fa
video games,sega pico,29033,0,low,ga
video games,sega vr,29034,0,low,stub
video games,sega saturn,29035,0,high,fa
video games,dreamcast,29036,0,high,ga
video games,sonic the hedgehog (character),29056,0,high,b
video games,system shock,29180,0,mid,fa
video games,simple directmedia layer,29199,0,mid,start
video games,the legend of zelda,30035,0,high,c
video games,tom clancy,30265,0,low,c
video games,tetris,30339,0,high,c
video games,tomb raider,30361,0,high,b
video games,tetromino,30411,0,low,start
video games,the sims (video game),30492,0,high,c
video games,trs-80,30747,0,high,start
video games,universe of the legend of zelda,30778,0,mid,c
video games,turbografx-16,31268,0,high,start
video games,taito,31505,0,high,start
video games,trs-80 color computer,31562,0,low,start
video games,ultima (series),32131,0,high,b
video games,unreal (1998 video game),32193,0,mid,c
video games,puzzle video game,32393,0,high,start
video games,platform game,32394,0,top,b
video games,fighting game,32398,0,high,ga
video games,video game developer,32399,0,high,c
video games,history of video games,32401,0,top,c
video games,virtual reality,32612,0,mid,start
video games,video game console,32629,0,top,c
video games,virtua fighter (video game),32722,0,high,c
video games,vectrex,32729,0,high,start
video games,worldforge,33254,0,low,start
video games,wolfenstein 3d,33430,0,high,fa
video games,westwood studios,33822,0,mid,start
video games,worms (series),34004,0,mid,start
video games,xyzzy (computing),34167,0,low,c
video games,xenogears,34168,0,mid,ga
video games,zork,34419,0,high,start
video games,zx80,34466,0,low,start
video games,zx spectrum,34467,0,high,ga
video games,zx81,34475,0,low,ga
video games,zoop,34487,0,low,start
video games,z-machine,34505,0,low,start
video games,the 3do company,35504,0,mid,start
video games,3do interactive multiplayer,36168,0,mid,c
video games,scumm,36729,0,mid,start
video games,mario kart: super circuit,36735,0,mid,start
video games,soldier of fortune (video game),36867,0,mid,start
video games,heavy metal: f.a.k.k.²,36950,0,low,start
video games,ritual entertainment,36951,0,mid,start
video games,conway's game of life,37035,0,low,b
video games,klondike (solitaire),37282,0,mid,start
video games,stevie case,37301,0,low,start
video games,commander keen,37529,0,mid,ga
video games,jeff minter,37731,0,low,start
video games,activision,38299,0,top,c
video games,john carmack,38368,0,high,b
video games,nvidia,39120,0,mid,c
video games,leisure suit larry,39191,0,mid,start
video games,time crisis (video game),39292,0,mid,start
video games,closed captioning,40883,0,mid,b
video games,midi maze,42256,0,mid,start
video games,myth (series),42661,0,low,b
video games,druid (character class),43043,0,low,start
video games,commandos (series),43103,0,low,start
video games,allegro (software),44502,0,low,start
video games,parallax scrolling,46944,0,high,start
video games,all your base are belong to us,47498,0,mid,start
video games,zero wing,47543,0,low,start
video games,freecell,47711,0,low,c
video games,dr. mario,47785,0,mid,ga
video games,roguelike,47880,0,high,ga
video games,star wars jedi knight ii: jedi outcast,48687,0,mid,c
video games,tom clancy's rainbow six (video game),49093,0,high,start
video games,marathon trilogy,49133,0,low,start
video games,spellevator,49330,0,low,stub
video games,kuru kuru kururin,49615,0,low,start
video games,suspended,49626,0,low,start
video games,lara croft: tomb raider,49800,0,low,start
video games,arcade game,49827,0,top,c
video games,final fantasy tactics,52720,0,mid,fa
video games,radiant silvergun,52727,0,low,start
video games,final fantasy ii,52753,0,low,ga
video games,final fantasy iv,52754,0,mid,ga
video games,final fantasy vi,52755,0,high,fa
video games,final fantasy vii,52756,0,high,fa
video games,final fantasy viii,52757,0,mid,fa
video games,final fantasy ix,52758,0,mid,fa
video games,final fantasy x,52759,0,high,fa
video games,final fantasy chronicles,52761,0,low,ga
video games,final fantasy mystic quest,52762,0,low,ga
video games,the final fantasy legend,52763,0,mid,ga
video games,final fantasy adventure,52764,0,low,ga
video games,final fantasy v,52767,0,mid,ga
video games,sierra entertainment,52814,0,high,c
video games,half-life (video game),52816,0,high,ga
video games,resident evil,52820,0,high,c
video games,valve corporation,52842,0,high,start
video games,gamecube,53525,0,high,b
video games,sokoban,53953,0,mid,start
video games,jay miner,54351,0,mid,start
video games,clive sinclair,56293,0,low,start
video games,middleware (distributed applications),57183,0,mid,start
video games,turbine (company),57493,0,low,start
video games,nobuo uematsu,57677,0,mid,ga
video games,ancient domains of mystery,58989,0,low,c
video games,sin,58990,0,low,start
video games,escape velocity (video game),59862,0,mid,start
video games,charmander,59933,0,mid,c
video games,warcraft iii: reign of chaos,61139,0,mid,b
video games,acorn archimedes,63145,0,low,c
video games,atari 8-bit family,63429,0,mid,c
video games,jack tramiel,63438,0,high,c
video games,north american video game crash of 1983,64393,0,high,c
video games,final fantasy iii,66495,0,mid,ga
video games,populous (video game),66654,0,high,b
video games,warcraft: orcs & humans,67461,0,mid,ga
video games,zool,67840,0,low,start
video games,avalon hill,68069,0,low,start
video games,slash'em,68220,0,low,start
video games,baldur's gate (series),68232,0,mid,start
video games,list of puzzle video games,68860,0,low,list
video games,lemmings (video game),69179,0,high,ga
video games,bioware,69400,0,high,c
video games,electronic entertainment expo,70128,0,high,start
video games,the lost vikings (series),70653,0,low,start
video games,commodore 128,72032,0,low,start
video games,commodore vic-20,72155,0,high,c
video games,grand prix legends,72237,0,mid,start
video games,mark mothersbaugh,73078,0,low,start
video games,koopa troopa,73950,0,low,start
video games,mario kart 64,73963,0,mid,c
video games,pac-man,74255,0,high,b
video games,space invaders,74337,0,high,fa
