wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
new york city public transportation,nj transit,309785,0,top,c
new york city public transportation,mta bridges and tunnels,384767,0,top,c
new york city public transportation,south ferry (manhattan),458382,0,mid,start
new york city public transportation,category:transportation in new york city,710672,14,na,category
new york city public transportation,category:staten island ferry,994218,14,na,category
new york city public transportation,template:new jersey transit,1303483,10,na,template
new york city public transportation,sixth avenue line,1495516,0,na,disambig
new york city public transportation,transportation to coney island,1593424,0,low,start
new york city public transportation,template:nycs lines navbox,1604825,10,na,template
new york city public transportation,ny waterway,1613034,0,mid,start
new york city public transportation,south ferry,1673245,0,na,disambig
new york city public transportation,template:nycs rolling stock,1716612,10,na,template
new york city public transportation,taxicabs of new york city,2097397,0,low,b
new york city public transportation,metropolitan transportation authority police,2509805,0,mid,c
new york city public transportation,category:nj transit stations,2532115,14,na,category
new york city public transportation,template:metro-north,2572572,10,na,template
new york city public transportation,metrocard vending machines,3021399,0,mid,na
new york city public transportation,mta capital construction,3508955,0,high,stub
new york city public transportation,category:metropolitan transportation authority,3629167,14,na,category
new york city public transportation,template:long island rail road,5981048,10,na,template
new york city public transportation,hudson terminal,7223955,0,low,c
new york city public transportation,template:user wp:nycpt,7368700,10,na,template
new york city public transportation,list of ferries across the east river,8654109,0,mid,list
new york city public transportation,seventh avenue line,8677105,0,na,disambig
new york city public transportation,category:top-importance new york city public transportation articles,8749025,14,na,category
new york city public transportation,category:wikiproject new york city public transportation articles,8749063,14,na,category
new york city public transportation,category:high-importance new york city public transportation articles,8749149,14,na,category
new york city public transportation,template:wikiproject new york city public transportation,8765692,10,na,template
new york city public transportation,category:unassessed new york city public transportation articles,8765835,14,na,category
new york city public transportation,category:b-class new york city public transportation articles,8765909,14,na,category
new york city public transportation,category:start-class new york city public transportation articles,8765918,14,na,category
new york city public transportation,category:stub-class new york city public transportation articles,8765928,14,na,category
new york city public transportation,category:ga-class new york city public transportation articles,8765931,14,na,category
new york city public transportation,category:category-class new york city public transportation articles,8765957,14,na,category
new york city public transportation,category:disambig-class new york city public transportation articles,8765980,14,na,category
new york city public transportation,category:list-class new york city public transportation articles,8765990,14,na,category
new york city public transportation,category:template-class new york city public transportation articles,8766006,14,na,category
new york city public transportation,category:mid-importance new york city public transportation articles,8766030,14,na,category
new york city public transportation,category:low-importance new york city public transportation articles,8766033,14,na,category
new york city public transportation,category:unknown-importance new york city public transportation articles,8766041,14,na,category
new york city public transportation,wikipedia:version 1.0 editorial team/new york city public transportation articles by quality statistics,8788339,4,na,na
new york city public transportation,wikipedia:version 1.0 editorial team/new york city public transportation articles by quality,8788516,4,na,na
new york city public transportation,wikipedia:version 1.0 editorial team/new york city public transportation articles by quality log,8788520,4,na,na
new york city public transportation,wikipedia:wikiproject new york city public transportation/subway infobox,8803260,4,na,na
new york city public transportation,template:brooklyn streetcar lines,8844983,10,na,template
new york city public transportation,new york city transit fares,8867794,0,mid,start
new york city public transportation,template:brooklyn bus routes,8868124,10,na,template
new york city public transportation,category:new york city public transportation articles needing maps,8951404,14,na,category
new york city public transportation,template:manhattan bus routes,8975002,10,na,template
new york city public transportation,south ferry, brooklyn,9099831,0,low,stub
new york city public transportation,grand street ferry,9100288,0,mid,stub
new york city public transportation,broadway ferry,9100324,0,mid,stub
