wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
ice hockey,bernie federko,3984,0,,start
ice hockey,detroit red wings,8795,0,,b
ice hockey,fenway park,11238,0,,b
ice hockey,garnet bailey,12556,0,,start
ice hockey,hockey,13981,0,,c
ice hockey,ice hockey,14790,0,,b
ice hockey,ice skating,15146,0,,c
ice hockey,james norris memorial trophy,16437,0,,fl
ice hockey,marv albert,20132,0,,b
ice hockey,nhl,21808,0,,na
ice hockey,national hockey league,21809,0,,b
ice hockey,ottawa senators,22705,0,,ga
ice hockey,ted turner,30475,0,,c
ice hockey,wayne gretzky,33422,0,,fa
ice hockey,ice hockey at the 2002 winter olympics,40017,0,,start
ice hockey,wrigley field,40224,0,,c
ice hockey,hayley wickenheiser,40628,0,,b
ice hockey,charles m. schulz,42198,0,,c
ice hockey,montreal canadiens,42966,0,,ga
ice hockey,hockey puck,53347,0,,b
ice hockey,jack buck,60025,0,,b
ice hockey,new jersey devils,66743,0,,fa
ice hockey,new york islanders,66880,0,,b
ice hockey,new york rangers,66881,0,,c
ice hockey,philadelphia flyers,66941,0,,b
ice hockey,pittsburgh penguins,66964,0,,c
ice hockey,stanley cup,66968,0,,fa
ice hockey,hockey night in canada,66972,0,,b
ice hockey,boston bruins,69523,0,,b
ice hockey,buffalo sabres,69918,0,,b
ice hockey,toronto maple leafs,70155,0,,b
ice hockey,atlanta thrashers,70501,0,,b
ice hockey,carolina hurricanes,70523,0,,b
ice hockey,florida panthers,70551,0,,start
ice hockey,colorado avalanche,70948,0,,ga
ice hockey,shinty,73107,0,,c
ice hockey,tampa bay lightning,73124,0,,b
ice hockey,washington capitals,73125,0,,c
ice hockey,chicago blackhawks,73126,0,,b
ice hockey,columbus blue jackets,73128,0,,b
ice hockey,edmonton oilers,73129,0,,b
ice hockey,minnesota wild,73132,0,,b
ice hockey,vancouver canucks,73133,0,,b
ice hockey,anaheim ducks,73134,0,,b
ice hockey,dallas stars,73135,0,,start
ice hockey,los angeles kings,73136,0,,b
ice hockey,arizona coyotes,73138,0,,c
ice hockey,san jose sharks,73139,0,,b
ice hockey,nashville predators,73140,0,,b
ice hockey,hockey hall of fame,74098,0,,fa
ice hockey,foster hewitt,74338,0,,start
ice hockey,playoffs,74678,0,,b
ice hockey,madison square garden,75129,0,,c
ice hockey,maurice richard,77270,0,,fa
ice hockey,todd mcfarlane,82471,0,,c
ice hockey,goalkeeper,86314,0,,start
ice hockey,paul henderson,86402,0,,fa
ice hockey,bobby orr,86913,0,,ga
ice hockey,inline skates,102948,0,,start
ice hockey,bobby hull,105319,0,,c
ice hockey,hart memorial trophy,113663,0,,fl
ice hockey,art ross trophy,132858,0,,fl
ice hockey,wendell anderson,137987,0,,start
ice hockey,gordie howe,141390,0,,b
ice hockey,lester patrick trophy,142962,0,,fl
ice hockey,mario lemieux,148878,0,,b
ice hockey,steve yzerman,162154,0,,b
ice hockey,brampton battalion,163215,0,,start
ice hockey,ice hockey in slovakia,166015,0,,start
ice hockey,jacques plante,167874,0,,fa
ice hockey,broad street bullies,169077,0,,na
ice hockey,ella maillart,197809,0,,start
ice hockey,vladimir petrov (ice hockey),199112,0,,start
ice hockey,jerry colangelo,200760,0,,c
ice hockey,american hockey league,207085,0,,c
ice hockey,doug gilmour,207480,0,,b
