wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
television stations,nbc,21780,0,top,b
television stations,tvp,31592,0,mid,start
television stations,cbs,37653,0,top,c
television stations,corporation for public broadcasting,44032,0,mid,start
television stations,fox broadcasting company,46252,0,top,c
television stations,american broadcasting company,62027,0,top,b
television stations,wabc-tv,65469,0,mid,c
television stations,game show network,75027,0,mid,b
television stations,espn,77795,0,high,b
television stations,usa network,77826,0,unknown,
television stations,ion television,77887,0,low,start
television stations,wapa-tv,101568,0,unknown,
television stations,nickelodeon,154549,0,low,c
television stations,wpxn-tv,188003,0,low,start
television stations,wpix,188161,0,mid,c
television stations,wttw,189763,0,low,c
television stations,wgn-tv,189764,0,unknown,c
television stations,fuji television,193225,0,unknown,
television stations,yle,201228,0,low,c
television stations,mtv2,215279,0,low,c
television stations,lifetime (tv network),217196,0,unknown,
television stations,tlc (tv network),235107,0,unknown,c
television stations,comedy central,235879,0,mid,c
television stations,wkaq-tv,238193,0,unknown,
television stations,spike (tv channel),250480,0,mid,b
television stations,vpro,261755,0,unknown,
television stations,kytv (tv series),266438,0,unknown,start
television stations,wste-dt,273107,0,unknown,
television stations,wlii-dt,273178,0,unknown,
television stations,georgia public broadcasting,287697,0,unknown,
television stations,abc news,318094,0,low,c
television stations,mtv3,329641,0,unknown,
television stations,lists of television stations in north america,334057,0,unknown,
television stations,list of television stations in new york (by region),334061,0,unknown,
television stations,list of television stations in ohio,334614,0,unknown,
television stations,list of television stations in california,334628,0,unknown,
television stations,list of television stations in arkansas,334632,0,unknown,
television stations,list of television stations in pennsylvania,335578,0,low,list
television stations,kegs,336721,0,unknown,
television stations,list of television stations in florida,337716,0,unknown,
television stations,list of television stations in washington (state),337799,0,unknown,
television stations,list of television stations in wisconsin,340156,0,unknown,
television stations,list of television stations in maine,341513,0,unknown,list
television stations,list of television stations in oregon,341528,0,unknown,
television stations,wnet,342636,0,unknown,
television stations,list of television stations in montana,342704,0,unknown,
television stations,list of television stations in illinois,345866,0,unknown,
television stations,list of television stations in massachusetts,345906,0,unknown,
television stations,list of television stations in michigan,346080,0,unknown,list
television stations,list of television stations in oklahoma,346318,0,unknown,
television stations,list of television stations in rhode island,346662,0,unknown,list
television stations,list of television stations in georgia (u.s. state),346729,0,unknown,
television stations,list of television stations in iowa,346760,0,unknown,
television stations,list of television stations in alaska,346783,0,unknown,
television stations,tvb pearl,346793,0,mid,start
television stations,list of television stations in hawaii,346853,0,unknown,
television stations,list of television stations in delaware,346888,0,low,list
television stations,list of television stations in washington, d.c.,346895,0,unknown,
television stations,list of television stations in new jersey,346924,0,low,list
television stations,list of television stations in nevada,346944,0,unknown,list
television stations,list of television stations in baja california,347058,0,mid,list
television stations,list of television stations in idaho,347077,0,unknown,
television stations,list of television stations in vermont,347101,0,unknown,
television stations,list of television stations in new hampshire,347104,0,unknown,
television stations,list of television stations in alabama,347446,0,unknown,
television stations,list of television stations in arizona,347483,0,mid,list
television stations,list of television stations in connecticut,347487,0,high,list
television stations,list of television stations in wyoming,347536,0,unknown,
television stations,list of television stations in new mexico,347724,0,unknown,
television stations,list of television stations in kansas,347738,0,unknown,
television stations,list of television stations in south dakota,347767,0,unknown,
television stations,list of television stations in north dakota,347786,0,unknown,
television stations,list of television stations in indiana (by channel number),348430,0,unknown,
television stations,list of television stations in maryland,348505,0,unknown,
television stations,list of television stations in utah,348565,0,unknown,
television stations,wtsn (tv channel),348824,0,unknown,
television stations,list of television stations in texas,349166,0,unknown,
television stations,list of television stations in missouri,351041,0,unknown,
television stations,list of television stations in mississippi,351143,0,unknown,
television stations,bravo (u.s. tv network),351810,0,mid,c
television stations,wefg-ld,354528,0,low,start
television stations,list of television stations in louisiana,355258,0,unknown,
television stations,list of television stations in virginia,355456,0,unknown,
television stations,list of television stations in minnesota,356112,0,low,list
television stations,list of television stations in west virginia,356242,0,unknown,
television stations,list of television stations in kentucky,356302,0,unknown,
television stations,list of television stations in south carolina,356431,0,unknown,
television stations,list of television stations in nebraska,356496,0,unknown,
television stations,list of television stations in oceania,361541,0,low,list
television stations,kcet,361748,0,low,start
