wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
new zealand,abel tasman,1988,0,top,b
new zealand,act of settlement 1701,2070,0,low,b
new zealand,asian development bank,2512,0,low,start
new zealand,arapaoa island,2559,0,low,start
new zealand,boxing day,4681,0,mid,c
new zealand,chardonnay socialist,6236,0,low,start
new zealand,crux,6359,0,low,b
new zealand,crowded house,6927,0,high,b
new zealand,cook islands,7067,0,high,c
new zealand,ernest rutherford,9603,0,top,c
new zealand,erewhon,9664,0,low,c
new zealand,eftpos,10333,0,mid,c
new zealand,god save the queen,12334,0,high,b
new zealand,history of oceania,14104,0,low,start
new zealand,international convention for the regulation of whaling,14933,0,mid,start
new zealand,james cook,15630,0,top,b
new zealand,john jellicoe, 1st earl jellicoe,16346,0,mid,b
new zealand,john eccles (neurophysiologist),16426,0,low,c
new zealand,james flynn (academic),16573,0,low,start
new zealand,karl popper,16623,0,low,c
new zealand,korean war,16772,0,mid,b
new zealand,kellogg–briand pact,17023,0,low,start
new zealand,kiwi,17362,0,top,b
new zealand,kiwifruit,17363,0,top,c
new zealand,knights of labor,17387,0,unknown,
new zealand,labour day,18051,0,high,c
new zealand,little penguin,18232,0,mid,c
new zealand,mv tampa,19822,0,unknown,c
new zealand,marmite,20090,0,mid,b
new zealand,aoraki / mount cook,20212,0,top,start
new zealand,melbourne cup,20485,0,top,b
new zealand,metre convention,20666,0,unknown,start
new zealand,mike moore (new zealand politician),21031,0,top,c
new zealand,meet the feebles,21037,0,unknown,start
new zealand,niue,21228,0,high,b
new zealand,geography of new zealand,21353,0,top,start
new zealand,demographics of new zealand,21354,0,top,ga
new zealand,politics of new zealand,21355,0,top,c
new zealand,economy of new zealand,21356,0,top,b
new zealand,telecommunications in new zealand,21357,0,mid,start
new zealand,transport in new zealand,21358,0,high,b
new zealand,new zealand defence force,21359,0,high,b
new zealand,foreign relations of new zealand,21360,0,top,c
new zealand,norfolk island,21422,0,low,b
new zealand,new zealand english,21670,0,top,b
