wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
youtube,beyoncé,83688,0,unknown,ga
youtube,ok go,324393,0,mid,c
youtube,maroon 5,512449,0,unknown,
youtube,bold (disambiguation),1006135,0,low,disambig
youtube,frederator studios,1178141,0,unknown,start
youtube,the ellen degeneres show,1446915,0,low,
youtube,rihanna,2110323,0,low,
youtube,david guetta,2808834,0,unknown,
youtube,youtube,3524766,0,top,ga
youtube,eminem,4429395,0,low,
youtube,steve chen,5113310,0,unknown,start
youtube,taylor swift,5422144,0,low,
youtube,shakira,6479315,0,unknown,
youtube,selena gomez,6844407,0,unknown,
youtube,machinima, inc.,7187928,0,unknown,
youtube,rhett and link,11310746,0,unknown,
youtube,list of youtubers,12237784,0,unknown,list
youtube,smosh,12346158,0,top,
youtube,matt patrick,12562260,0,mid,disambig
youtube,censorship of youtube,12850150,0,unknown,start
youtube,adele,13041163,0,high,c
youtube,katy perry,16477368,0,low,
youtube,studio c,16583767,0,mid,
youtube,spinnin' records,21655829,0,unknown,
youtube,t-series,21844874,0,unknown,
youtube,vevo,22347942,0,unknown,
youtube,nicki minaj,22570683,0,unknown,
youtube,ryan higa,23214678,0,top,
youtube,justin bieber,23680998,0,low,
youtube,buzzfeed,23940287,0,unknown,
youtube,portal:google,23943805,100,mid,portal
youtube,bruno mars,27005455,0,unknown,ga
youtube,book:michael jackson,29022038,108,low,book
youtube,ed sheeran,30528002,0,unknown,
youtube,one direction,31772741,0,low,
youtube,nyan cat,31883240,0,mid,start
youtube,peter hollens,32151007,0,unknown,start
youtube,comparison of youtube downloaders,32346616,0,unknown,start
youtube,jenna marbles,33101554,0,unknown,
youtube,book:telecommunications applications,33287113,108,low,book
youtube,lindsey stirling,33554195,0,high,c
youtube,epic rap battles of history,33592458,0,unknown,
youtube,pentatonix,33673230,0,unknown,
youtube,skrillex,34016927,0,unknown,
youtube,watchmojo.com,34607417,0,unknown,
youtube,jessica frech,35271243,0,unknown,start
youtube,jack douglass,35812328,0,unknown,start
youtube,fine brothers,36336637,0,unknown,
youtube,gangnam style,36584679,0,top,ga
youtube,vsauce,36970179,0,unknown,
youtube,philip defranco,37026722,0,mid,c
youtube,blocking of youtube videos in germany,37251336,0,mid,start
youtube,pewdiepie,37259045,0,top,ga
youtube,tanya burr,37631669,0,unknown,start
youtube,cartoon hangover,38773946,0,unknown,start
youtube,ethan zachery scott,39477690,0,low,stub
youtube,the tonight show starring jimmy fallon,39766609,0,unknown,
youtube,bad teeth,40332775,0,unknown,
youtube,enchufe.tv,40807290,0,unknown,
youtube,markiplier,40875978,0,unknown,
youtube,book:wikipedia signpost/2013-10-30,40957366,108,low,book
youtube,2013 youtube music awards,40966131,0,mid,list
youtube,ksi (entertainer),41312749,0,unknown,
youtube,zoella,41346464,0,unknown,
youtube,cinemasins,41539787,0,mid,c
youtube,arin hanson,41598627,0,unknown,c
youtube,dude perfect,41617721,0,unknown,
youtube,bored shorts tv,41650353,0,unknown,start
youtube,channel frederator network,42338256,0,unknown,
youtube,youtube rewind,42427933,0,high,start
youtube,germán garmendia,42778000,0,top,
youtube,diwan videos,43117413,0,unknown,start
youtube,roman atwood,43386202,0,high,start
youtube,devin graham,43468484,0,unknown,start
youtube,gabriel montiel gutiérrez,43511309,0,unknown,
youtube,youtube spotlight,43894597,0,mid,
youtube,youtube red,44382466,0,top,stub
youtube,gardiner sisters,44571375,0,unknown,start
youtube,mehdi sadaghdar,44581567,0,mid,stub
youtube,category:youtubers,44592802,14,high,category
youtube,porta dos fundos,44613462,0,unknown,
youtube,digisay,44878817,0,unknown,start
youtube,2015 youtube music awards,45044690,0,mid,list
youtube,template:userbox/youtubeaddict,45046092,10,low,template
youtube,template:infobox youtube personality,46301048,10,top,template
youtube,brothers with no game,46841486,0,unknown,start
youtube,enzo knol,46924956,0,mid,stub
youtube,jacksepticeye,46962193,0,unknown,
youtube,vanossgaming,47002901,0,top,
youtube,chicken pork adobo,47267802,0,unknown,start
youtube,dan middleton,47285216,0,top,b
youtube,n.o.c night owl cinematics,47442111,0,low,stub
youtube,cvx live,47517914,0,mid,start
youtube,taras kulakov,47721887,0,high,start
youtube,Ása Ástardóttir,47954475,0,low,stub
youtube,book:network music,49154725,108,low,book
youtube,el rubius,49469620,0,top,start
youtube,wikipedia:wikiproject youtube,49663696,4,top,project
youtube,sam pepper,49710926,0,mid,c
youtube,hugo dessioux,49853949,0,top,stub
youtube,beauty youtubers,49939773,0,mid,start
youtube,scott sterling (fictional),49991644,0,low,stub
youtube,wikipedia:wikiproject youtube/message list,50229967,4,top,project
youtube,kondzilla,50347560,0,unknown,
youtube,matpat,50511277,0,high,start
youtube,rhys pickering,50604139,0,low,stub
youtube,the thinning,50654553,0,mid,start
youtube,book:the inbound marketing automation book - vol. i,50750524,108,low,book
youtube,matt meese,50949559,0,mid,stub
youtube,the runner (tv series),50974035,0,low,
youtube,sammy paul,51064153,0,low,stub
youtube,game theory (web show),51076699,0,mid,stub
youtube,academia de drags (season 1),51268496,0,low,list
youtube,jeremy warner,51294710,0,low,start
youtube,yuya (youtuber),51320258,0,unknown,
youtube,ijustwanttobecool,51376673,0,mid,stub
youtube,tejbz,51377039,0,low,stub
youtube,stuart edge,51614969,0,unknown,start
youtube,jason nash,52052589,0,low,stub
youtube,joe santagato,52106984,0,unknown,
youtube,youtube music,52135003,0,top,start
youtube,indiana neidell,52444774,0,low,stub
youtube,sabrina cruz,52579906,0,mid,stub
youtube,bill wurtz,52714007,0,unknown,start
youtube,template:youtubers-bio-stub,53202230,10,na,template
youtube,category:youtubers stubs,53202476,14,top,category
youtube,after party,53343540,0,low,disambig
youtube,brooklyn and bailey mcknight,53405086,0,mid,stub
youtube,ltcorbis,53534617,0,low,stub
youtube,booktube,53615269,0,unknown,
youtube,draft:aphmau,53682283,118,mid,draft
youtube,wikipedia:wikiproject youtube/navigation,53845287,4,na,project
youtube,wikipedia:wikiproject youtube/members,53845392,4,na,project
youtube,template:wikiproject youtube,53845552,10,top,template
youtube,wikipedia:wikiproject youtube/assessment,53845769,4,na,project
youtube,wikipedia:version 1.0 editorial team/youtube articles by quality statistics,53845816,4,top,list
youtube,template:user wikiproject youtube,53847216,10,na,template
youtube,category:wikiproject youtube members,53847230,14,top,category
youtube,category:unknown-importance youtube articles,53847271,14,top,category
youtube,category:b-class youtube articles,53847334,14,top,category
youtube,category:high-importance youtube articles,53847335,14,top,category
youtube,wikipedia:wikiproject youtube/to do,53847396,4,top,list
youtube,category:unassessed youtube articles,53847459,14,top,category
youtube,category:stub-class youtube articles,53847677,14,top,category
youtube,category:youtube stubs,53847689,14,top,category
youtube,category:youtube articles by quality,53847691,14,top,category
youtube,category:fa-class youtube articles,53847695,14,top,category
youtube,category:a-class youtube articles,53847696,14,top,category
youtube,category:ga-class youtube articles,53847697,14,top,category
youtube,category:c-class youtube articles,53847698,14,top,category
youtube,category:start-class youtube articles,53847699,14,top,category
youtube,category:fl-class youtube articles,53847702,14,top,category
youtube,category:list-class youtube articles,53847703,14,top,category
youtube,category:na-importance youtube articles,53847709,14,top,category
youtube,wikipedia:wikiproject youtube/articles needed for creation,53847812,4,na,project
youtube,category:youtube articles needing infoboxes,53847991,14,top,category
youtube,category:file-class youtube articles,53848029,14,top,category
youtube,category:book-class youtube articles,53848030,14,top,category
youtube,category:draft-class youtube articles,53848031,14,top,category
youtube,category:category-class youtube articles,53848033,14,top,category
youtube,category:disambig-class youtube articles,53848034,14,top,category
youtube,category:portal-class youtube articles,53848035,14,top,category
youtube,category:redirect-class youtube articles,53848038,14,top,category
youtube,category:template-class youtube articles,53848039,14,top,category
youtube,category:project-class youtube articles,53848040,14,top,category
youtube,wikipedia:wikiproject youtube/interviewrequest,53851278,4,na,project
youtube,wikipedia:wikiproject youtube/ad display,53851728,4,na,project
youtube,template:wikiproject youtube/invite members,53851814,10,na,template
youtube,template:wikiproject youtube/welcome,53861660,10,na,template
youtube,user:wp 1.0 bot/tables/project/youtube,53871630,2,top,list
youtube,template:wikiproject youtube/article request,53873267,10,na,template
youtube,template:the youtube barnstar,53906556,10,na,template
youtube,theodd1sout,53907895,0,unknown,
youtube,youtube kids,53918675,0,top,start
youtube,wikipedia:wikiproject youtube/style guide,53952852,4,top,project
youtube,template:yout-cat,53965747,10,top,template
youtube,category:wikipedian youtubers,53976791,14,na,category
youtube,template:wikiproject youtube/used template,53977169,10,high,template
youtube,arsenalfantv,54045568,0,unknown,
youtube,category:wikiproject youtube assessment categories,54063923,14,top,category
youtube,whindersson nunes,54105960,0,unknown,stub
youtube,wikipedia:wikiproject youtube/notability,54189384,4,high,project
youtube,wikipedia:wikiproject youtube/recognized content,54190737,4,high,list
youtube,daddyofive,54246940,0,unknown,
youtube,katy perry live: witness world wide,54282772,0,low,start
youtube,austin jones (musician),54302001,0,unknown,
youtube,kings of atlantis (web series),54312659,0,unknown,start
