wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
dinosaurs,apatosaurus,1346,0,high,fa
dinosaurs,allosaurus,1347,0,high,fa
dinosaurs,albertosaurus,1367,0,mid,fa
dinosaurs,archaeopteryx,2995,0,high,fa
dinosaurs,dinosaur,8311,0,top,fa
dinosaurs,paleontology,23084,0,top,ga
dinosaurs,tyrannosaurus,30467,0,high,fa
dinosaurs,velociraptor,32529,0,high,fa
dinosaurs,triceratops,54410,0,high,fa
dinosaurs,dinosaurus,148758,0,na,na
dinosaurs,chicxulub crater,174609,0,high,fa
dinosaurs,stegosaurus,192790,0,high,fa
dinosaurs,tyrannosauridae,195479,0,high,ga
dinosaurs,tarbosaurus,195481,0,low,fa
dinosaurs,daspletosaurus,195485,0,mid,fa
dinosaurs,william beebe,205787,0,mid,ga
dinosaurs,iguanodon,228798,0,mid,fa
dinosaurs,deinonychus,236856,0,high,fa
dinosaurs,list of fictional dinosaurs,248377,0,low,list
dinosaurs,theropoda,300664,0,high,c
dinosaurs,trachodon,309900,0,unknown,start
dinosaurs,gideon mantell,327498,0,mid,c
dinosaurs,transitional fossil,331755,0,mid,ga
dinosaurs,ichnology,349876,0,low,stub
dinosaurs,othniel charles marsh,357114,0,mid,start
dinosaurs,solnhofen limestone,382966,0,low,start
dinosaurs,troodontidae,409825,0,low,c
dinosaurs,arctometatarsal,410010,0,low,stub
dinosaurs,edward drinker cope,415000,0,high,fa
dinosaurs,troodon,417844,0,mid,b
dinosaurs,gastrolith,429873,0,mid,c
dinosaurs,dilophosaurus,444541,0,mid,b
dinosaurs,archosaur,492039,0,high,c
dinosaurs,gallimimus,495873,0,mid,c
dinosaurs,archaeoraptor,504049,0,low,ga
dinosaurs,megalosaurus,513908,0,high,ga
dinosaurs,utahraptor,569684,0,mid,start
dinosaurs,compsognathus,577188,0,high,fa
dinosaurs,oviraptor,581471,0,mid,b
dinosaurs,argentinosaurus,584992,0,mid,c
dinosaurs,ornithischia,585373,0,high,b
dinosaurs,thyreophora,585468,0,low,c
dinosaurs,saltopus,591657,0,unknown,stub
dinosaurs,saltasaurus,591661,0,low,start
dinosaurs,lesothosaurus,610601,0,low,start
dinosaurs,wikipedia:wikiproject dinosaurs,612700,4,na,project
dinosaurs,eoraptor,620629,0,high,b
dinosaurs,hadrosaurus,632223,0,mid,c
dinosaurs,deinonychosauria,633092,0,na,na
dinosaurs,dromaeosauridae,636929,0,high,ga
dinosaurs,segnosaurus,636977,0,unknown,start
dinosaurs,aviatyrannis,642479,0,low,start
dinosaurs,supersaurus,650276,0,low,c
dinosaurs,mamenchisaurus,650291,0,low,c
dinosaurs,sauropoda,651916,0,high,c
dinosaurs,dromaeosaurus,651926,0,mid,c
dinosaurs,sauropodomorpha,651976,0,mid,c
dinosaurs,caudipteryx,672390,0,low,c
dinosaurs,protoavis,672740,0,low,b
dinosaurs,torosaurus,683917,0,low,c
dinosaurs,category:paleontology,716918,14,na,category
dinosaurs,spinosaurus,747188,0,high,ga
dinosaurs,anatotitan,806768,0,na,na
dinosaurs,edward hitchcock,832892,0,unknown,start
dinosaurs,oviraptoridae,849241,0,low,c
dinosaurs,therizinosaurus,851586,0,mid,c
dinosaurs,khaan,851648,0,low,start
dinosaurs,coeluridae,852159,0,low,start
dinosaurs,ankylosauria,860921,0,mid,c
dinosaurs,cryptovolans,871634,0,na,na
dinosaurs,sinosauropteryx,871655,0,low,ga
dinosaurs,category:feathered dinosaurs,871680,14,na,category
dinosaurs,protarchaeopteryx,873618,0,low,start
dinosaurs,shuvuuia,874353,0,unknown,stub
dinosaurs,nodosaurus,893606,0,mid,start
dinosaurs,irritator,895452,0,low,b
dinosaurs,category:dinosaurs,912963,14,na,category
dinosaurs,list of u.s. state dinosaurs,913560,0,mid,list
dinosaurs,giganotosaurus,941270,0,high,fa
dinosaurs,gigantosaurus,941367,0,low,stub
dinosaurs,ankylosaurus,983374,0,high,fa
dinosaurs,kentrosaurus,1005294,0,mid,ga
dinosaurs,chasmosaurus,1005302,0,low,b
dinosaurs,hypsilophodon,1005314,0,low,c
dinosaurs,camarasaurus,1005316,0,mid,b
dinosaurs,microraptor,1025693,0,high,b
dinosaurs,category:fictional dinosaurs,1033398,14,na,category
dinosaurs,dilong (dinosaur),1047158,0,low,start
dinosaurs,parvicursor,1063983,0,unknown,stub
dinosaurs,alvarezsauridae,1064008,0,mid,b
dinosaurs,protoceratops,1064031,0,mid,b
dinosaurs,dinosaur classification,1070621,0,high,start
dinosaurs,gorgosaurus,1073845,0,low,fa
dinosaurs,ultrasaurus,1081560,0,unknown,start
dinosaurs,maniraptora,1088440,0,mid,c
dinosaurs,pennaceous feather,1088495,0,unknown,stub
dinosaurs,baryonyx,1091918,0,mid,fa
dinosaurs,staurikosaurus,1091923,0,low,start
dinosaurs,coelophysis,1091927,0,low,b
dinosaurs,hadrosaurid,1091928,0,mid,b
dinosaurs,barapasaurus,1091931,0,low,start
dinosaurs,anchisaurus,1091949,0,low,c
dinosaurs,coelurosauria,1094274,0,mid,c
dinosaurs,sauroposeidon,1096641,0,mid,b
dinosaurs,ceratosaurus,1104822,0,mid,b
dinosaurs,acrocanthosaurus,1108139,0,mid,fa
dinosaurs,carcharodontosaurus,1108159,0,mid,c
dinosaurs,thagomizer,1116929,0,low,c
dinosaurs,bruhathkayosaurus,1122930,0,low,c
dinosaurs,william parker foulke,1128924,0,mid,c
dinosaurs,diplodocid,1137870,0,mid,start
dinosaurs,category:sauropods,1137902,14,na,category
dinosaurs,titanosaur,1139347,0,mid,c
dinosaurs,morrison formation,1149977,0,mid,b
dinosaurs,south polar dinosaur,1156924,0,mid,start
dinosaurs,rapetosaurus,1178091,0,unknown,start
dinosaurs,beipiaosaurus,1179697,0,low,c
dinosaurs,walking with dinosaurs,1195805,0,low,start
dinosaurs,cryolophosaurus,1208825,0,mid,ga
dinosaurs,feathered dinosaur,1214539,0,high,c
dinosaurs,muttaburrasaurus,1227658,0,low,start
dinosaurs,euoplocephalus,1230089,0,mid,b
dinosaurs,unaysaurus,1238546,0,low,start
dinosaurs,hylaeosaurus,1241943,0,low,c
dinosaurs,sinornithosaurus,1243463,0,low,c
dinosaurs,qantassaurus,1249266,0,unknown,start
dinosaurs,hesperosaurus,1250880,0,low,b
dinosaurs,carnotaurus,1251051,0,mid,fa
dinosaurs,ceratosauria,1252253,0,low,start
dinosaurs,carnosauria,1252279,0,unknown,start
dinosaurs,tetanurae,1252309,0,unknown,b
dinosaurs,ornithopod,1257941,0,mid,start
dinosaurs,anserimimus,1264155,0,unknown,start
dinosaurs,torvosaurus,1272088,0,low,c
dinosaurs,ceratopsia,1288805,0,high,ga
dinosaurs,saturnalia (dinosaur),1291869,0,low,start
dinosaurs,suchomimus,1317491,0,low,start
dinosaurs,barosaurus,1323632,0,low,b
dinosaurs,list of transitional fossils,1334167,0,low,list
dinosaurs,josé bonaparte,1340043,0,low,start
dinosaurs,mei (dinosaur),1342730,0,low,start
dinosaurs,dinosaur cove,1343789,0,unknown,stub
dinosaurs,corythosaurus,1360138,0,mid,ga
dinosaurs,rajasaurus,1407252,0,mid,ga
dinosaurs,coelophysoidea,1435787,0,mid,start
dinosaurs,herrerasauridae,1438292,0,unknown,start
dinosaurs,user:phlebas,1491850,2,na,na
dinosaurs,prosauropoda,1503790,0,na,na
dinosaurs,saurornitholestes,1544970,0,low,c
dinosaurs,mussaurus,1551709,0,mid,start
dinosaurs,archosauriformes,1554187,0,unknown,start
dinosaurs,ceratopsidae,1560265,0,low,start
dinosaurs,plateosaurus,1565138,0,high,fa
dinosaurs,ornithomimosauria,1574190,0,mid,c
dinosaurs,tanystropheus,1574221,0,low,c
