wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
stub sorting,wikipedia:stub,99719,4,,
stub sorting,template:stub,726079,10,,
stub sorting,template:auto-stub,840871,10,,
stub sorting,category:automobile stubs,841205,14,,
stub sorting,template:writer-stub,841787,10,,
stub sorting,category:writer stubs,841799,14,,
stub sorting,template:lang-stub,843323,10,,
stub sorting,category:language stubs,843378,14,,
stub sorting,template:num-stub,844554,10,,
stub sorting,category:number stubs,844563,14,,
stub sorting,template:bio-stub,857532,10,,
stub sorting,category:people stubs,857591,14,,
stub sorting,template:melbourne-stub,865640,10,,
stub sorting,category:stub categories,869270,14,,
stub sorting,template:compu-stub,889594,10,,
stub sorting,template:kde-stub,914981,10,,
stub sorting,category:kde stubs,915004,14,,
stub sorting,template:linux-stub,915347,10,,
stub sorting,category:linux stubs,915383,14,,
stub sorting,template:geo-stub,931822,10,,
stub sorting,category:geography stubs,931823,14,,
stub sorting,template:edu-stub,931843,10,,
stub sorting,category:university stubs,931847,14,,
stub sorting,template:olympic-stub,932008,10,,
stub sorting,template:sci-stub,933435,10,,
stub sorting,category:science stubs,933437,14,,
stub sorting,template:company-stub,933453,10,,
stub sorting,template:org-stub,933463,10,,
stub sorting,category:organization stubs,933466,14,,
stub sorting,template:music-stub,933971,10,,
stub sorting,template:math-stub,933974,10,,
stub sorting,category:music stubs,933978,14,,
stub sorting,template:icehockey-stub,934770,10,,
stub sorting,category:ice hockey stubs,934781,14,,
stub sorting,template:hist-stub,936410,10,,
stub sorting,template:sport-stub,937320,10,,
stub sorting,category:sports stubs,937322,14,,
stub sorting,template:myth-stub,943417,10,,
stub sorting,category:mythology stubs,943420,14,,
stub sorting,template:mil-stub,945678,10,,
stub sorting,category:military stubs,945685,14,,
stub sorting,template:aero-stub,947206,10,,
stub sorting,category:aircraft stubs,947207,14,,
stub sorting,template:stub category,951822,10,,
stub sorting,template:lit-stub,954784,10,,
stub sorting,category:literature stubs,954788,14,,
stub sorting,template:reli-stub,960626,10,,
stub sorting,category:religion stubs,960631,14,,
stub sorting,template:art-stub,975506,10,,
stub sorting,category:art stubs,975508,14,,
stub sorting,template:metastub,980067,10,,
stub sorting,template:sydney-geo-stub,1016581,10,,
stub sorting,template:film-stub,1026633,10,,
stub sorting,template:pub-stub,1034003,10,,
stub sorting,template:school-stub,1036311,10,,
stub sorting,category:school stubs,1036551,14,,
stub sorting,template:lds-stub,1038238,10,,
