wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
medicine,autism,25,0,high,fa
medicine,assistive technology,653,0,low,b
medicine,anatomy,674,0,high,ga
medicine,abortion,765,0,top,b
medicine,mouthwash,782,0,low,c
medicine,motor neuron disease,876,0,high,start
medicine,arsenic,897,0,low,b
medicine,anxiety,922,0,high,b
medicine,acute disseminated encephalomyelitis,967,0,mid,b
medicine,ataxia,969,0,mid,c
medicine,abscess,1032,0,high,b
medicine,avicenna,1130,0,low,b
medicine,abdominal surgery,1303,0,low,start
medicine,americans with disabilities act of 1990,1338,0,low,b
medicine,aspirin,1525,0,high,ga
medicine,acupuncture,1537,0,mid,b
medicine,arthritis,1776,0,high,c
medicine,antibiotics,1805,0,high,c
medicine,alternative medicine,1845,0,high,c
medicine,ampicillin,1912,0,mid,c
medicine,antimicrobial resistance,1914,0,high,c
medicine,antigen,1915,0,mid,c
medicine,alexander fleming,1937,0,low,b
medicine,alcoholics anonymous,2047,0,low,b
medicine,aphasia,2088,0,mid,b
medicine,analgesic,2246,0,high,b
medicine,antidepressant,2388,0,high,b
medicine,amphetamine,2504,0,high,fa
medicine,agent orange,2547,0,low,ga
medicine,antacid,2689,0,mid,start
medicine,optical aberration,2704,0,low,c
medicine,ames test,2766,0,low,start
medicine,ace inhibitor,2767,0,mid,b
medicine,anatomical therapeutic chemical classification system,2770,0,mid,start
medicine,antipsychotic,2870,0,high,c
medicine,amoxicillin,2885,0,mid,b
medicine,albinism,2909,0,low,c
medicine,alcoholism,2965,0,top,ga
medicine,amputation,2992,0,mid,start
medicine,arteriovenous malformation,3135,0,mid,c
medicine,antioxidant,3277,0,high,fa
medicine,brain abscess,3840,0,mid,start
medicine,herman boerhaave,3874,0,low,start
medicine,biostatistics,3878,0,low,start
medicine,blood,3997,0,high,c
medicine,bcg vaccine,4191,0,mid,b
medicine,bioinformatics,4214,0,mid,c
medicine,breast reconstruction,4419,0,mid,start
medicine,black death,4501,0,mid,b
medicine,body substance isolation,4516,0,mid,start
medicine,bipolar spectrum,4523,0,mid,start
medicine,bipolar disorder,4531,0,top,b
medicine,bacterial vaginosis,4581,0,high,b
medicine,plague (disease),4746,0,mid,b
medicine,benzodiazepine,4781,0,high,ga
medicine,body mass index,4788,0,mid,b
medicine,biomedical engineering,4827,0,mid,b
medicine,blood alcohol content,4845,0,mid,c
medicine,bipolar i disorder,4918,0,mid,c
medicine,catatonia,5237,0,mid,c
medicine,coitus interruptus,5373,0,mid,start
medicine,condom,5374,0,high,ga
medicine,cardiology,5421,0,mid,c
medicine,creutzfeldt–jakob disease,5617,0,high,b
medicine,consciousness,5664,0,mid,ga
medicine,calcium,5668,0,mid,c
medicine,coma,5721,0,high,c
medicine,cognitive behavioral therapy,5750,0,high,b
medicine,bradycardia,5872,0,high,c
medicine,coronary artery disease,5876,0,high,b
medicine,traditional chinese medicine,5992,0,mid,b
medicine,cytology,6022,0,na,disambig
medicine,conventional insulinotherapy,6105,0,mid,stub
medicine,chloramphenicol,6346,0,mid,b
medicine,cretinism,6352,0,mid,start
medicine,cholesterol,6437,0,high,b
medicine,carcinogen,6445,0,mid,c
medicine,cryonics,6760,0,mid,b
medicine,ciprofloxacin,6773,0,high,b
medicine,centers for disease control and prevention,6811,0,high,c
medicine,clitoridectomy,6922,0,mid,c
medicine,carbamazepine,6949,0,high,b
medicine,chagas disease,7012,0,high,fa
medicine,christiaan barnard,7015,0,low,c
medicine,chlamydia infection,7037,0,high,b
medicine,candidiasis,7038,0,high,b
medicine,chemotherapy,7172,0,high,b
medicine,cardiac glycoside,7296,0,mid,c
medicine,color blindness,7397,0,mid,c
medicine,cardiology diagnostic tests and procedures,7435,0,mid,start
medicine,coal tar,7466,0,mid,start
medicine,calorimetry,7522,0,mid,start
medicine,cholera,7591,0,high,b
medicine,cerebral arteriovenous malformation,7659,0,mid,c
medicine,cocaine,7701,0,high,c
medicine,coprophagia,7720,0,low,start
medicine,charcot–marie–tooth disease,7845,0,mid,start
medicine,central pontine myelinolysis,7846,0,low,c
medicine,dentistry,8005,0,high,c
medicine,alcohol intoxication,8011,0,mid,c
medicine,disease,8072,0,top,c
medicine,dilation and curettage,8207,0,mid,b
medicine,death,8221,0,top,c
medicine,di george's syndrome,8277,0,low,b
medicine,down syndrome,8303,0,high,ga
medicine,dyslexia,8305,0,high,ga
medicine,major depressive disorder,8389,0,top,fa
medicine,developmental biology,8449,0,low,start
medicine,dieting,8460,0,mid,b
medicine,dichlorodiphenyltrichloroethane,8494,0,mid,b
medicine,diagnostic and statistical manual of mental disorders,8498,0,high,b
medicine,dehydroepiandrosterone,8807,0,low,b
medicine,datura,8846,0,mid,c
medicine,doctor (title),8881,0,low,b
medicine,david abercromby,8885,0,low,stub
medicine,dementia praecox,9059,0,mid,start
medicine,endocrinology,9311,0,high,c
medicine,edward jenner,9506,0,low,b
medicine,euthanasia,9587,0,high,b
medicine,endocarditis,9659,0,mid,c
medicine,ectopia (medicine),9665,0,mid,stub
medicine,elizabeth garrett anderson,9695,0,low,b
medicine,expressive aphasia,9841,0,mid,start
medicine,emil kraepelin,10002,0,low,start
medicine,evidence-based medicine,10013,0,high,c
medicine,mdma,10024,0,mid,b
medicine,ethanol,10048,0,mid,b
medicine,erythromycin,10090,0,high,c
medicine,experimental cancer treatment,10176,0,high,b
medicine,emil theodor kocher,10473,0,low,b
medicine,epilepsy,10511,0,top,ga
medicine,essential tremor,10528,0,mid,c
medicine,fugue state,10898,0,mid,c
medicine,free-running sleep,10971,0,low,start
medicine,flatulence,11240,0,mid,b
medicine,fruitarianism,11286,0,low,c
medicine,first aid,11296,0,high,c
medicine,female genital mutilation,11408,0,mid,fa
medicine,faith healing,11627,0,low,c
medicine,food and drug administration,11632,0,high,c
medicine,flynn effect,11773,0,low,b
medicine,foix–alajouanine syndrome,11806,0,low,stub
medicine,goitre,12265,0,mid,c
medicine,genetics,12266,0,high,fa
medicine,great plague of london,12286,0,mid,ga
medicine,galen,12326,0,low,c
medicine,genetic disorder,12437,0,high,b
medicine,general surgery,12545,0,mid,b
medicine,gas mask,12772,0,mid,b
medicine,general anaesthetic,12786,0,mid,start
medicine,gene therapy,12891,0,high,b
medicine,gastroenterology,12976,0,mid,start
medicine,glottis,13079,0,low,start
medicine,hypoxia (medical),13292,0,high,c
medicine,hormone,13311,0,high,start
medicine,hypoglycemia,13315,0,high,c
medicine,hippocrates,13486,0,low,fa
medicine,hyperthyroidism,13492,0,mid,b
medicine,hemiparesis,13528,0,mid,start
medicine,hans selye,13532,0,low,c
medicine,histology,13570,0,mid,c
medicine,robert koch,13722,0,low,start
medicine,high-density lipoprotein,13885,0,mid,b
medicine,outline of health sciences,14002,0,high,list
medicine,haemophilia,14006,0,mid,c
medicine,heroin,14034,0,high,b
medicine,human cloning,14094,0,low,b
medicine,hiv,14170,0,high,ga
medicine,history of medicine,14194,0,high,c
medicine,homeopathy,14229,0,mid,b
medicine,hypnotic,14269,0,mid,c
medicine,haematopoiesis,14374,0,low,b
medicine,list of infectious diseases,14613,0,mid,list
medicine,erectile dysfunction,14783,0,high,c
medicine,insulin pump,14899,0,mid,b
medicine,intensive insulinotherapy,14904,0,mid,start
medicine,immunology,14959,0,mid,start
medicine,insulin-like growth factor,15000,0,low,start
medicine,interferon,15120,0,mid,b
medicine,genomic imprinting,15235,0,low,b
medicine,interstitial cystitis,15354,0,mid,b
medicine,food irradiation,15374,0,low,b
medicine,iud with copper,15378,0,mid,b
medicine,involuntary commitment,15416,0,mid,start
medicine,international statistical classification of diseases and related health problems,15459,0,high,b
medicine,infundibulum,15466,0,na,disambig
medicine,infanticide,15474,0,mid,c
medicine,international red cross and red crescent movement,15487,0,mid,b
medicine,inhalant,15501,0,mid,c
medicine,inclusion body myositis,15538,0,mid,start
medicine,john cade,16285,0,low,b
medicine,john abercrombie (physician),16390,0,low,start
medicine,john abernethy (surgeon),16393,0,low,start
medicine,joseph lister,16535,0,low,c
medicine,ketamine,16948,0,mid,c
medicine,kidneys, ureters, and bladder x-ray,16963,0,low,start
medicine,kwashiorkor,16994,0,low,start
medicine,kuru,17354,0,na,disambig
medicine,kocher–debre–semelaigne syndrome,17455,0,low,stub
medicine,lysergic acid diethylamide,17537,0,mid,c
medicine,louis pasteur,17740,0,low,b
medicine,lafora disease,17886,0,low,start
medicine,lassa fever,17887,0,mid,b
medicine,language center,18008,0,mid,start
medicine,leonardo da vinci,18079,0,low,ga
medicine,lunatic,18377,0,mid,start
medicine,lung cancer,18450,0,top,fa
medicine,laparoscopic surgery,18480,0,mid,c
medicine,leukemia,18539,0,high,b
medicine,lambert–eaton myasthenic syndrome,18628,0,mid,ga
medicine,median lethal dose,18644,0,mid,start
medicine,life expectancy,18669,0,mid,b
medicine,luke the evangelist,18710,0,low,b
medicine,lymphedema,18722,0,mid,b
medicine,mental event,18875,0,low,stub
medicine,magnesium,18909,0,low,c
medicine,emergency contraception,18939,0,high,b
medicine,medicine,18957,0,top,b
medicine,muscular dystrophy,18982,0,mid,b
medicine,myasthenia gravis,18998,0,mid,b
medicine,molecular biology,19200,0,low,c
medicine,mental disorder,19356,0,top,c
medicine,midwifery,19391,0,high,b
medicine,maimonides,19445,0,low,c
medicine,magnetic resonance imaging,19446,0,high,b
medicine,microscopy,19567,0,mid,b
medicine,microgyrus,19705,0,low,stub
medicine,mycoplasma genitalium,20219,0,mid,start
medicine,macrobiotic diet,20318,0,mid,start
medicine,mutagen,20359,0,low,start
medicine,microorganism,20377,0,high,b
medicine,medicine man,20401,0,low,start
medicine,mania,20419,0,mid,b
medicine,malaria,20423,0,top,ga
medicine,marcello malpighi,20428,0,low,start
medicine,mood stabilizer,20432,0,mid,c
medicine,meconium aspiration syndrome,20452,0,mid,c
medicine,meconium,20453,0,mid,start
medicine,médecins sans frontières,20498,0,mid,b
medicine,morphine,20613,0,mid,b
medicine,modafinil,20690,0,mid,b
medicine,methadone,20962,0,mid,b
medicine,migraine,21035,0,top,ga
medicine,neuromyotonia,21221,0,low,c
medicine,neurology,21226,0,high,c
medicine,nanomedicine,21514,0,mid,c
medicine,nutrition,21525,0,high,b
medicine,nerve agent,21710,0,mid,c
medicine,nociception,21781,0,mid,b
medicine,neurosurgery,21848,0,mid,start
medicine,neurotransmitter,21865,0,high,c
medicine,nuremberg code,21881,0,mid,start
medicine,nitrogen narcosis,21937,0,mid,ga
medicine,nicotinamide,21968,0,mid,start
medicine,neural darwinism,22000,0,low,b
medicine,nephrology,22028,0,mid,b
medicine,nonsteroidal anti-inflammatory drug,22071,0,high,b
medicine,fertility awareness,22085,0,mid,b
medicine,osteoporosis,22461,0,high,b
medicine,otorhinolaryngology,22573,0,mid,c
medicine,estrogen,22581,0,high,b
medicine,combined oral contraceptive pill,22623,0,high,c
medicine,oncogene,22689,0,mid,start
medicine,optic neuritis,22786,0,mid,c
medicine,oxycodone,22799,0,mid,b
medicine,paul ehrlich,23010,0,low,c
medicine,prion,23048,0,mid,ga
medicine,ploidy,23219,0,low,start
medicine,phenylketonuria,23251,0,high,b
medicine,paralysis,23254,0,mid,start
medicine,penicillin,23312,0,high,c
medicine,physician,23315,0,top,b
