wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
cannabis,amsterdam,844,0,low,b
cannabis,colorado,5399,0,low,b
cannabis,cypress hill,5637,0,mid,b
cannabis,carl sagan,6824,0,unknown,
cannabis,controlled substances act,7727,0,top,c
cannabis,denver,8522,0,low,ga
cannabis,hashish,14415,0,high,start
cannabis,marijuana (disambiguation),19357,0,na,disambig
cannabis,drug policy of the netherlands,21164,0,high,b
cannabis,cannabis,38310,0,top,c
cannabis,bong,38314,0,high,start
cannabis,rastafari,42132,0,low,b
cannabis,prohibition of drugs,51036,0,high,b
cannabis,marihuana tax act of 1937,55095,0,high,start
cannabis,tetrahydrocannabinol,60920,0,high,b
cannabis,easy rider,73444,0,low,c
cannabis,anandamide,104526,0,mid,start
cannabis,420 (cannabis culture),145891,0,high,c
cannabis,cannabis edibles,150113,0,mid,c
cannabis,tincture of cannabis,162489,0,low,start
cannabis,effects of cannabis,168915,0,top,b
cannabis,legality of cannabis,168917,0,high,c
cannabis,cheech & chong,169328,0,mid,c
cannabis,ale yarok,169728,0,mid,start
cannabis,bc bud,169930,0,na,na
cannabis,woody harrelson,171528,0,low,c
cannabis,medical cannabis,175440,0,high,c
cannabis,club des hashischins,180430,0,low,stub
cannabis,national organization for the reform of marijuana laws,184488,0,mid,start
cannabis,ed rosenthal,191901,0,mid,start
cannabis,the chronic,194546,0,low,ga
cannabis,california proposition 215 (1996),197036,0,mid,c
cannabis,cannabinoid,210988,0,top,start
cannabis,bloc pot,213141,0,low,start
cannabis,drug paraphernalia,218456,0,mid,start
cannabis,jack herer,252496,0,low,start
cannabis,freetown christiania,253228,0,mid,c
cannabis,hitzig v canada,274202,0,mid,start
cannabis,bhang,281802,0,top,start
cannabis,the marijuana-logues,299096,0,low,stub
cannabis,hemp oil,324632,0,mid,c
cannabis,marijuana party (canada),383537,0,mid,start
cannabis,roach clip,471638,0,low,stub
cannabis,head shop,471649,0,low,start
cannabis,finnish cannabis association,486311,0,mid,start
cannabis,harry j. anslinger,509563,0,high,c
cannabis,legalise cannabis alliance,520017,0,na,na
cannabis,emerald triangle,533061,0,mid,start
cannabis,mezz mezzrow,554772,0,unknown,
cannabis,thc ministry,574362,0,mid,start
cannabis,roger christie,576034,0,low,start
cannabis,cannabinoid receptor,586091,0,high,c
cannabis,rolling paper,598673,0,high,start
cannabis,high times,614411,0,mid,c
cannabis,howard marks,647971,0,low,c
cannabis,file:aotearoalegalisecannabispartylogo.png,662843,6,na,file
cannabis,aotearoa legalise cannabis party,662856,0,low,start
cannabis,half baked,677929,0,low,start
cannabis,category:cannabinoids,717992,14,na,category
cannabis,peter mcwilliams,724705,0,low,start
cannabis,acapulco gold,768101,0,na,na
cannabis,amotivational syndrome,818755,0,unknown,
cannabis,cp 55,940,863748,0,low,stub
cannabis,vaporizer (inhalation device),873436,0,mid,start
cannabis,tod h. mikuriya,884926,0,mid,start
cannabis,the botany of desire,927985,0,unknown,
cannabis,november coalition,931752,0,low,stub
cannabis,seattle hempfest,950346,0,high,start
cannabis,hemp,963313,0,high,b
cannabis,stoner film,967725,0,low,start
cannabis,marc emery,978525,0,mid,c
cannabis,drug test,986871,0,low,c
cannabis,william brooke o'shaughnessy,1014461,0,low,c
cannabis,cannabis sativa,1014590,0,top,b
cannabis,weeds (tv series),1067134,0,low,b
cannabis,students for sensible drug policy,1122821,0,mid,start
cannabis,drug policy alliance,1126453,0,mid,start
cannabis,rimonabant,1169767,0,low,start
cannabis,spottle,1171492,0,low,stub
cannabis,war on drugs,1181646,0,high,c
cannabis,arguments for and against drug prohibition,1181942,0,high,c
cannabis,gateway drug theory,1197243,0,mid,start
cannabis,mind blowin',1198782,0,low,stub
cannabis,british columbia marijuana party,1227367,0,mid,start
cannabis,cannabinol,1231976,0,low,stub
cannabis,cannabidiol,1232085,0,high,c
cannabis,tetrahydrocannabivarin,1232145,0,mid,start
cannabis,cannabivarin,1232227,0,low,stub
cannabis,cannabidivarin,1232351,0,low,stub
cannabis,grassroots-legalize cannabis party,1238577,0,low,start
cannabis,up in smoke,1274418,0,low,start
cannabis,g-13,1309212,0,na,na
cannabis,category:drug culture,1326113,14,na,category
cannabis,sebsi,1361353,0,low,stub
cannabis,how high,1373922,0,low,start
cannabis,tom forcade,1396478,0,low,start
cannabis,michael baldasaro,1442407,0,low,start
cannabis,charas,1457506,0,mid,start
cannabis,rob kampia,1461414,0,low,c
cannabis,marijuana policy project,1461440,0,mid,start
cannabis,richard cowan (cannabis activist),1461695,0,low,start
cannabis,hu-210,1461877,0,low,start
cannabis,keith stroup,1462673,0,low,start
cannabis,jon gettman,1462692,0,low,b
cannabis,coalition for rescheduling cannabis,1473254,0,low,stub
cannabis,national commission on marihuana and drug abuse,1473398,0,mid,start
cannabis,removal of cannabis from schedule i of the controlled substances act,1473650,0,mid,b
cannabis,single convention on narcotic drugs,1476908,0,mid,c
cannabis,cannabis (drug),1481886,0,top,b
cannabis,chillum (pipe),1510023,0,low,start
cannabis,category:cannabis,1512579,14,na,category
cannabis,oakland cannabis buyers' cooperative,1513489,0,low,stub
cannabis,paul armentano,1513762,0,mid,stub
cannabis,cannabis rescheduling,1550150,0,mid,stub
cannabis,lester grinspoon,1554863,0,low,start
cannabis,alliance for cannabis therapeutics,1555419,0,low,stub
cannabis,americans for safe access,1555557,0,mid,start
cannabis,twiztid,1559900,0,mid,b
cannabis,cannabis classification in the united kingdom,1577619,0,mid,start
cannabis,cannabis reform at the international level,1583655,0,mid,start
cannabis,kief,1585567,0,mid,start
cannabis,dana beal,1610401,0,low,start
cannabis,rolling kansas,1615562,0,low,stub
cannabis,shafer commission,1637340,0,mid,start
cannabis,the hasheesh eater,1637572,0,unknown,
cannabis,tilden's extract,1637610,0,low,stub
cannabis,nabilone,1672028,0,mid,start
cannabis,prairie plant systems,1702978,0,low,stub
cannabis,compassionate investigational new drug program,1710208,0,mid,c
cannabis,heaven's stairway,1754124,0,low,start
cannabis,blair longley,1788712,0,low,stub
cannabis,because i got high,1798775,0,low,start
cannabis,weekend at burnsie's,1820350,0,low,ga
cannabis,retting,1844252,0,unknown,
cannabis,convention for the suppression of the illicit traffic in dangerous drugs,1859341,0,unknown,
cannabis,le dain commission of inquiry into the non-medical use of drugs,1860174,0,mid,start
cannabis,shanmugam murugesu,1876325,0,low,stub
cannabis,la guardia committee,1921749,0,mid,start
cannabis,british legalise cannabis campaigns,1929191,0,low,stub
cannabis,rick steves,1941749,0,low,start
