wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
birds,ashmore and cartier islands,1227,0,low,start
birds,archaeopteryx,2995,0,high,fa
birds,bird,3410,0,top,fa
birds,common buzzard,4193,0,mid,start
birds,bald eagle,4401,0,high,fa
birds,blue crane,4462,0,low,start
birds,northern bobwhite,4529,0,low,start
birds,bill oddie,4622,0,low,c
birds,carolina parakeet,6322,0,mid,c
birds,ciconiiformes,6609,0,top,start
birds,carinatae,7598,0,low,start
birds,dodo,8420,0,mid,fa
birds,sideroxylon grandiflorum,8421,0,low,start
birds,europa island,9407,0,low,start
birds,list of recently extinct bird species,9731,0,high,list
birds,edward lear,10408,0,low,c
birds,finch,11711,0,high,start
birds,great auk,12552,0,mid,fa
birds,jan mayen,15673,0,low,b
birds,juan de nova island,15724,0,low,start
birds,john james audubon,16317,0,high,b
birds,common kestrel,17044,0,low,b
birds,konrad lorenz,17077,0,mid,start
birds,kingfisher,17100,0,high,c
birds,kiwi,17362,0,high,b
birds,kittiwake,17445,0,mid,start
birds,labrador duck,18088,0,mid,start
birds,little penguin,18232,0,low,start
birds,lake eyre,18374,0,low,start
birds,norfolk island,21422,0,low,b
birds,common ostrich,22544,0,top,b
birds,poultry,23197,0,low,ga
birds,penguin,23878,0,high,c
birds,passenger pigeon,23924,0,mid,fa
birds,quail,25302,0,low,list
birds,raven,26151,0,mid,list
birds,shrike,29394,0,high,c
birds,tromelin island,30178,0,low,c
birds,tufted puffin,31190,0,low,b
birds,vulture,32557,0,high,c
birds,wing,33537,0,mid,start
birds,chicken,37402,0,high,c
birds,eagle,37602,0,high,c
birds,owl,37654,0,top,c
birds,duck,37674,0,high,c
birds,pigeon sport,40616,0,low,stub
birds,american goldfinch,40673,0,mid,fa
birds,ornithology,42967,0,top,b
birds,georg forster,43667,0,mid,fa
birds,nightjar,45648,0,high,start
birds,passerine,46336,0,top,b
birds,trogon,47798,0,high,b
birds,lyrebird,48896,0,high,c
birds,phoenix (mythology),49122,0,low,c
birds,goose,50484,0,mid,start
birds,feather,50873,0,top,b
birds,swan,50952,0,mid,c
birds,charadriiformes,53551,0,top,start
birds,procellariiformes,53560,0,top,ga
birds,puffin,53620,0,mid,b
birds,auk,53622,0,high,c
birds,falcon,54444,0,mid,c
birds,bird of prey,54445,0,top,start
birds,cockfight,54920,0,mid,c
birds,little desert national park,55112,0,low,start
birds,hawk,56890,0,mid,start
birds,european robin,57008,0,low,ga
birds,mallophaga,58291,0,low,start
birds,zosterops,58845,0,mid,start
birds,cassowary,59166,0,mid,c
birds,rhea (bird),59858,0,mid,c
birds,pheasant,59919,0,mid,start
birds,peter scott,59922,0,mid,start
birds,falconidae,59940,0,high,c
birds,ortolan bunting,60967,0,low,start
birds,black swan,61550,0,mid,c
birds,carrier pigeon,62061,0,mid,c
birds,cher ami,62063,0,low,start
birds,macaw,62263,0,mid,c
birds,psittacidae,62267,0,low,stub
birds,moa,62366,0,high,b
birds,lovebird,62404,0,mid,c
birds,true owl,63034,0,high,start
birds,columbiformes,63107,0,top,c
birds,bee-eater,63229,0,high,fa
birds,columbidae,63355,0,top,b
birds,grouse,63570,0,mid,c
birds,sparrow,63572,0,high,c
birds,peafowl,63610,0,mid,c
birds,partridge,63640,0,mid,start
birds,morepork,63786,0,low,start
birds,barn-owl,64977,0,high,start
birds,common swift,66173,0,mid,start
birds,barn swallow,66174,0,low,fa
birds,american robin,67717,0,low,ga
birds,gaviiformes,68001,0,na,na
birds,loon,68005,0,top,b
birds,turtur,68971,0,mid,stub
birds,pelican,69785,0,mid,fa
birds,houtman abrolhos,69813,0,low,b
birds,hornbill,69971,0,high,c
birds,oology,70180,0,low,start
birds,hummingbird,70649,0,top,c
birds,thrush,72226,0,na,disambig
birds,turkey (bird),72821,0,mid,c
birds,parakeet,73222,0,mid,stub
birds,picinae,74193,0,mid,start
birds,stork,74202,0,high,c
birds,list of birds,76111,0,high,list
birds,american dipper,76771,0,low,start
birds,ouzel,76774,0,na,disambig
birds,dipper,76812,0,high,c
birds,cinclidae,76814,0,high,start
birds,white-throated dipper,76815,0,low,start
birds,white-capped dipper,76816,0,low,stub
birds,brown dipper,76817,0,low,stub
birds,rufous-throated dipper,76818,0,low,stub
birds,emu,76894,0,high,fa
birds,japanese robin,77276,0,low,stub
birds,siberian rubythroat,77282,0,low,stub
