editor,article_edited,wikiproject,timestamp
EFujisawa7,jōdo shinshū,Asia,1498670561
Jcmac12,asia society,Asia,1498677768
Spinmeister07,ethnic groups in asia,Asia,1498587377
Lextesapuay20,asia's next top model (cycle 5),Asia,1498641639
R.scherbatsky,asia's next top model (cycle 5),Asia,1498658258
Sniper426,asia's next top model (cycle 5),Asia,1498539547
Tanmayagarwal123,freelancing in india,Asia,1498541525
Eulahcarter,asia's next top model (cycle 5),Asia,1498372849
Frenchfries57,mediterranean politics,Asia,1498470406
IndologyScholar2,indo-european languages,Asia,1498274449
