editor,article_edited,wikiproject,timestamp
MSUBears1895,ian starnes,College football,1498673398
Kern Ramble,claude taugher,College football,1498682073
Hilltop2011,cody thomas,College football,1498688225
Jpien2,tommy lee jones,College football,1498702523
Pchil,brad childress,College football,1498704529
M.raeag,courtney watson,College football,1498716491
Eastcarolinafan99,ruffin mcneill,College football,1498739061
Dude906,jeff heath (american football),College football,1498579716
Db3388,bobby dodd stadium,College football,1498600925
Juliog349919,derek carr,College football,1498622932
Blim..,2014 ohio state buckeyes football team,College football,1498625168
Johnjackson23,johnny hekker,College football,1498659980
Zpgt,georgia tech yellow jackets,College football,1498661408
Jquob,battle of the brazos,College football,1498662534
Thekid1200,reggie roby,College football,1498500761
Hankgoff,zach moore,College football,1498502562
Baron9s,utah utes football,College football,1498505294
Kaikrowas3765,dwayne bowe,College football,1498527398
Dspowell,pat riley,College football,1498429346
The G.O.A.T.0102,ole miss rebels football,College football,1498484348
Balorsadvocate,baron corbin,College football,1498275603
Avrsalovich,tight end,College football,1498280523
Taustynj,eric decker,College football,1498312633
