editor,article_edited,wikiproject,timestamp
Alixxxxx777,sana javed,Cricket,1498669748
Hamzagujjar1,hong kong cricket sixes,Cricket,1498702847
Rorjaan141,list of women's one day international cricket records,Cricket,1498740228
Fork45,john bracewell,Cricket,1498584762
Karanchapaneri,england cricket team,Cricket,1498586319
Anonymousk7171,yuvraj singh,Cricket,1498592670
Ananvasi,kumar sangakkara,Cricket,1498629629
Robiah Arefin,off cutter,Cricket,1498660467
Alok1234567890,list of chennai super kings cricketers,Cricket,1498663484
PenileHead,damien martyn,Cricket,1498501185
LauraJasoon,t20 global league,Cricket,1498517475
Teastory8888,shikhar dhawan,Cricket,1498547196
JATIN14SONI,fielding (cricket),Cricket,1498564393
Gola60,icc t20i championship,Cricket,1498388530
Albert.brouwers,laura brouwers,Cricket,1498400255
Anamashah,shikhar dhawan,Cricket,1498406044
Jrggeorge,supersport park,Cricket,1498419565
Eelhovercraft,izzy westbury,Cricket,1498429495
B. Wishart100,ilyas gul,Cricket,1498474244
Belgarion00,ashleigh barty,Cricket,1498487428
Ninad05mestry,south africa national cricket team,Cricket,1498312250
Verwardie,sunette viljoen,Cricket,1498325161
Hamzaqayyum14,hasan ali (cricketer),Cricket,1498359381
