editor,article_edited,wikiproject,timestamp
JaguarFacedMan,collatz conjecture,Mathematics,1498705545
Hamsterjammery,cauchy's theorem (group theory),Mathematics,1498741518
Ava kish,harris hancock,Mathematics,1498591957
Bomby151,pentagram,Mathematics,1498607555
SHDUCKY,game theory,Mathematics,1498619491
Minakouchakzad,pearson correlation coefficient,Mathematics,1498621907
Chelseazh,f-divergence,Mathematics,1498626239
StefanSchupp,hybrid system,Mathematics,1498647208
Acullo,control theory,Mathematics,1498539888
Rotterams,class field theory,Mathematics,1498560441
Hardnerd,pairing function,Mathematics,1498560523
Darockymn,klein–gordon equation,Mathematics,1498396873
CybFox,quantum mechanics,Mathematics,1498397928
Langla45,class field theory,Mathematics,1498412186
Hehebebe123,tuple,Mathematics,1498442141
Clempe167,proof of the euler product formula for the riemann zeta function,Mathematics,1498452395
Guy9679,game theory,Mathematics,1498454012
NMAimon,spectral density,Mathematics,1498470769
Waterwik,calculus,Mathematics,1498472405
Woodschain175,transcendental equation,Mathematics,1498264048
Alberto Sanfeliu,graph edit distance,Mathematics,1498330076
Jaideep777,mandelbrot set,Mathematics,1498332679
