editor,article_edited,wikiproject,timestamp
Borgesewq,confessions of a nazi spy,Military history,1498668578
Iranazad,ahmad amir-ahmadi,Military history,1498668887
Wasd321,mcdonnell douglas f-15 eagle,Military history,1498675935
GeSalt,ilyushin il-10,Military history,1498679906
Receepiecees,arlo l. olson,Military history,1498680402
Stephen.mogle,112th special operations signal battalion,Military history,1498685147
Ikkiwiki126,battle of humen-shijing,Military history,1498686665
WHITELY,list of united states army four-star generals,Military history,1498689507
Macbox2001,type 54 pistol,Military history,1498695132
Jerremywk,p. o. box 1142,Military history,1498700171
Annie.sutton,angus houston,Military history,1498700384
Opsmamaa,akm,Military history,1498705621
Darkdragons,general atomics mq-1 predator,Military history,1498706853
Ccc38,landing signal officer,Military history,1498711323
5aums,harry s. truman,Military history,1498714781
Sashidhar Jakkamsetti,type 055 destroyer,Military history,1498733711
GoalkeeperCIWS,amphibious transport dock,Military history,1498736936
AliSami,1987 mecca incident,Military history,1498742834
CyclicalMethod,croatian army,Military history,1498743079
CupHalfFull,advanced launch system,Military history,1498748666
ScottKC,george rogers clark,Military history,1498749853
Hastinaapurr,type 055 destroyer,Military history,1498749968
Davyonei,tiree airport,Military history,1498578810
Tiwé,mikoyan mig-29,Military history,1498579854
Kontron613,hungarian–romanian war,Military history,1498582061
The Editor99,joseph goebbels,Military history,1498582068
ChicagoEd,2001 insurgency in the republic of macedonia,Military history,1498582198
Liljefe301,boeing xp-8,Military history,1498583329
Sunil Upadhyay 112827,research and analysis wing,Military history,1498584434
Jay Wankhade,sig sg 550,Military history,1498586318
Stur145,eastern front (world war ii),Military history,1498592735
Hygietrix,mannerheim cross,Military history,1498593985
Miktlan0481,teutonic order,Military history,1498597820
Miton Das,comparison of us and chinese military armed forces,Military history,1498598190
Meah2312,christopher boykin,Military history,1498604475
Ownabbasz,list of alumni of army burn hall college,Military history,1498606524
DoubleD6002,fighter squadron 1 (united states navy),Military history,1498612193
J stanek,first schleswig war,Military history,1498613579
Apache Attack Helicopter1,boeing ah-64 apache,Military history,1498616087
Q Rod,full metal jacket,Military history,1498636279
Pandayrn,vir chakra,Military history,1498642901
Hannah Gamer1234,kalinga war,Military history,1498645683
Titan x 9,puyi,Military history,1498650960
Neil Ovens,list of active south african navy ships,Military history,1498651737
James Fortenson,panzer,Military history,1498652905
