editor,article_edited,wikiproject,timestamp
Csequeira,silicon forest,Oregon,1498686053
Wolfgang-wolfgang,lavoy finicum,Oregon,1498696766
Sciencegirl1265,geraldine l. richmond,Oregon,1498696975
Justfill22,dan o'brien,Oregon,1498586702
Merrykartin,oregon ballot measure 9 (1992),Oregon,1498618949
Saltyspitoon,paris,Oregon,1498659835
Kriselise,lawrence halprin,Oregon,1498504958
Isarn57,william gladstone steel,Oregon,1498417246
Danswanson2070,mark rothko,Oregon,1498455857
BrilliantAlec,dungeness crab,Oregon,1498319748
NateMS1,free geek,Oregon,1498343283
