user_text,wikiproject,total_edits,pos
Fsmatovu,africa,24144,1
Dr. Blofeld,africa,19236,2
Middayexpress,africa,17117,3
Everyking,africa,15391,4
Kwamikagami,africa,10792,5
Namiba,africa,9466,6
Good Olfactory,africa,8794,7
Alifazal,africa,7791,8
Jimfbleak,africa,7038,9
Ser Amantio di Nicolao,africa,6685,10
Rjwilmsi,africa,5806,11
Rich Farmbrough,africa,5763,12
Lemurbaby,africa,5578,13
Materialscientist,africa,5162,14
Aymatth2,africa,4944,15
FunkMonk,africa,4518,16
Koavf,africa,4421,17
Woohookitty,africa,4031,18
Tabletop,africa,3892,19
Gyrofrog,africa,3840,20
Juhachi,anime and manga,51654,1
TheFarix,anime and manga,47727,2
Tintor2,anime and manga,25387,3
WhisperToMe,anime and manga,21191,4
AngusWOOF,anime and manga,17158,5
Sjones23,anime and manga,16482,6
Wonchop,anime and manga,15047,7
Mathewignash,anime and manga,14082,8
DragonZero,anime and manga,12110,9
Nihonjoe,anime and manga,11665,10
AnimeEditor,anime and manga,11062,11
Cattus,anime and manga,10261,12
KirtZJ,anime and manga,9932,13
Geg,anime and manga,9567,14
Hugosworld92,anime and manga,8507,15
Gabriel Yuji,anime and manga,7928,16
Blackgaia02,anime and manga,7118,17
ChrisGualtieri,anime and manga,5904,18
Xfansd,anime and manga,5874,19
Knowledgekid87,anime and manga,5817,20
Typhoon2013,asia,5443,1
Jason Rees,asia,4109,2
Meow,asia,2531,3
Cyclonebiskit,asia,2172,4
Chanheigeorge,asia,2155,5
Mohsen1248,asia,2088,6
Thegreatdr,asia,2012,7
Eu.stefan,asia,1525,8
Mitchazenia,asia,1152,9
Cybercobra,asia,956,10
Zoltan Bukovszky,asia,867,11
WikiLaurent,asia,855,12
Iune,asia,842,13
Materialscientist,asia,832,14
ASDFGH,asia,825,15
Joshua Jonathan,asia,821,16
Dbachmann,asia,815,17
Supportstorm,asia,792,18
Green Giant,asia,773,19
Altenmann,asia,670,20
Jimfbleak,birds,26912,1
Snowmanradio,birds,24373,2
Maias,birds,19505,3
Casliber,birds,8927,4
Shyamal,birds,8618,5
Pvmoutside,birds,6421,6
Xezbeth,birds,5962,7
Sabine's Sunbird,birds,5790,8
FunkMonk,birds,4879,9
MeegsC,birds,4360,10
Hesperian,birds,4093,11
SchreiberBike,birds,3963,12
William Avery,birds,3906,13
Innotata,birds,3244,14
Pigsonthewing,birds,2391,15
Rufous-crowned Sparrow,birds,2348,16
Rjwilmsi,birds,2234,17
Materialscientist,birds,2055,18
Kurt Shaped Box,birds,2043,19
Sandhillcrane,birds,2043,20
SqueakBox,cannabis,1536,1
Buaidh,cannabis,1350,2
Viriditas,cannabis,878,3
BatteryIncluded,cannabis,822,4
ATC,cannabis,703,5
Another Believer,cannabis,567,6
Ohnoitsjamie,cannabis,442,7
Petrarchan47,cannabis,431,8
ComputerJA,cannabis,422,9
SandyGeorgia,cannabis,367,10
Smaines,cannabis,310,11
Rjwilmsi,cannabis,300,12
TheRedPenOfDoom,cannabis,272,13
Tracer9999,cannabis,268,14
BullRangifer,cannabis,266,15
Timeshifter,cannabis,244,16
Meodipt,cannabis,230,17
Loodog,cannabis,161,18
Alan Liefting,cannabis,157,19
Götz,cannabis,154,20
Jweiss11,college football,71970,1
Cbl62,college football,36923,2
Dirtlawyer1,college football,31825,3
Bender235,college football,24337,4
Bsuorangecrush,college football,22972,5
Yankees10,college football,22780,6
MisterCake,college football,22580,7
Phbasketball6,college football,19171,8
Jwalte04,college football,19036,9
WikiOriginal-9,college football,18718,10
TonyTheTiger,college football,17206,11
Eagles247,college football,15845,12
Ccbbws1999,college football,15378,13
Dale Arnett,college football,14942,14
JustAGal,college football,13318,15
Gypaetus,college football,11823,16
Paulmcdonald,college football,11170,17
Jrcla2,college football,10277,18
Ucla90024,college football,10025,19
X96lee15,college football,8502,20
Mattythewhite,england,29449,1
Keith D,england,24345,2
The Rambling Man,england,12152,3
Armbrust,england,10156,4
Rodw,england,9994,5
Nev1,england,8810,6
NewTestLeper79,england,8166,7
DrKiernan,england,7722,8
Nfc123,england,7695,9
PeeJay2K3,england,7632,10
Charles Matthews,england,7421,11
Ealdgyth,england,7348,12
MRSC,england,7329,13
Motacilla,england,6738,14
Saga City,england,6651,15
Acabashi,england,6405,16
Skyblueshaun,england,6155,17
ChrisTheDude,england,5492,18
Struway2,england,5446,19
Rich Farmbrough,england,5441,20
Lugnuts,film,55863,1
Fortdj33,film,53594,2
Bovineboy2008,film,38099,3
Shawn in Montreal,film,23363,4
Aspects,film,22213,5
Erik II,film,19682,6
Lord Cornwallis,film,19294,7
Dr. Blofeld,film,17653,8
Andrzejbanas,film,17121,9
Koplimek,film,17047,10
Treybien,film,15311,11
Darkwarriorblake,film,15174,12
Bignole,film,15045,13
MarnetteD,film,15005,14
Koala15,film,14974,15
Carniolus,film,12937,16
Betty Logan,film,12409,17
Tassedethe,film,11912,18
Ser Amantio di Nicolao,film,11514,19
Dutchy85,film,11035,20
Mattythewhite,football,102834,1
GiantSnowman,football,69866,2
Jaellee,football,55210,3
Geregen2,football,54140,4
Matthew hk,football,49391,5
Chanheigeorge,football,49073,6
WildCherry06,football,48547,7
Jmorrison230582,football,46201,8
Arbero,football,40758,9
PeeJay2K3,football,40656,10
Nfc123,football,39004,11
Skyblueshaun,football,37083,12
Jogurney,football,35667,13
EchetusXe,football,32860,14
Dave logic,football,32149,15
Mikemor92,football,30179,16
Struway2,football,30100,17
Djln,football,27647,18
NewTestLeper79,football,26606,19
Sir Sputnik,football,24949,20
Ekabhishek,india,72271,1
Sitush,india,52332,2
Shyamsunder,india,35515,3
TheRedPenOfDoom,india,24162,4
Titodutta,india,21350,5
Chandan Guha,india,20314,6
Ravichandar84,india,20109,7
Redtigerxyz,india,19266,8
Materialscientist,india,18256,9
Utcursch,india,18158,10
Woohookitty,india,16668,11
Rajasekhar1961,india,16296,12
DRAGON BOOSTER,india,15952,13
Randhirreddy,india,15243,14
Vensatry,india,14718,15
Bollyjeff,india,13559,16
Niajm,india,13494,17
Rjwilmsi,india,12231,18
Rsrikanth05,india,11413,19
Vivvt,india,11150,20
Bearcat,lgbt studies,21316,1
