wikiproject,editor_text,user_id,project_edits,wp_edits,last_edit,regstr_time
Military history,Concus Cretus,28964956,6,1321,2017-07-17 03:36:38,2017-07-17 03:36:38
Military history,Cotton2,2232035,5,5580,2017-07-13 14:42:38,2017-07-13 14:42:38
Military history,Ashmoo,194089,9,15182,2017-07-19 12:15:18,2017-07-19 12:15:18
Military history,Hushpuckena,8965090,7,31942,2017-07-19 21:11:08,2017-07-19 21:11:08
Military history,Hayman30,22783192,3,14308,2017-07-19 10:43:25,2017-07-19 10:43:25
Military history,Denisarona,4770293,11,67939,2017-07-19 17:52:23,2017-07-19 17:52:23
Military history,JayCoop,11343200,6,11834,2017-07-18 23:58:25,2017-07-18 23:58:25
Military history,Double sharp,10274643,2,51492,2017-07-19 14:35:17,2017-07-19 14:35:17
Military history,Bennv3771,30268075,2,9013,2017-07-19 14:56:44,2017-07-19 14:56:44
Military history,Orser67,490397,117,17689,2017-07-19 20:59:07,2017-07-19 20:59:07
Military history,DIYeditor,29720313,27,1117,2017-07-19 07:44:27,2017-07-19 07:44:27
Military history,Jollibinay,26368957,6,691,2017-07-19 15:19:43,2017-07-19 15:19:43
Military history,Jodosma,18240633,27,47457,2017-07-18 20:59:01,2017-07-18 20:59:01
Military history,Bjenks,1693504,17,11305,2017-07-19 04:20:09,2017-07-19 04:20:09
Military history,OcarinaOfTime,776137,5,11685,2017-07-17 21:13:33,2017-07-17 21:13:33
Military history,InedibleHulk,877242,4,48394,2017-07-19 21:18:24,2017-07-19 21:18:24
Military history,C933103,7205089,7,2002,2017-07-19 11:06:05,2017-07-19 11:06:05
Military history,Hddty.,26663505,8,1094,2017-07-18 11:34:24,2017-07-18 11:34:24
Military history,Power~enwiki,21155,3,3876,2017-07-20 01:15:52,2017-07-20 01:15:52
Military history,C. A. Russell,6309685,5,2074,2017-07-19 18:26:08,2017-07-19 18:26:08
Africa,InedibleHulk,877242,2,48394,2017-07-19 21:18:24,2017-07-19 21:18:24
Africa,Matthew hk,727505,3,148999,2017-07-19 16:06:56,2017-07-19 16:06:56
Africa,DIYeditor,29720313,11,1117,2017-07-19 07:44:27,2017-07-19 07:44:27
Africa,Johnuniq,6036800,2,45930,2017-07-19 11:33:26,2017-07-19 11:33:26
Africa,Denisarona,4770293,2,67939,2017-07-19 17:52:23,2017-07-19 17:52:23
Africa,JayCoop,11343200,17,11834,2017-07-18 23:58:25,2017-07-18 23:58:25
