user_text,wikiproject,cos_sim,pos
Daamoy,africa,0.226046768100824,1
Huddo14,africa,0.22474951751032488,2
MFCMFC,africa,0.22280364162457614,3
Queenwe,africa,0.21964346022034451,4
Narspur,africa,0.21956051514832828,5
Tortajtartej,africa,0.21956051514832828,6
Wheres.dot,africa,0.21956051514832828,7
Hebue,africa,0.21768017132449616,8
Carl the not so great,africa,0.2160362098169043,9
Coal town guy,africa,0.21431090004665926,10
Tab1975,africa,0.21388151828998911,11
Chillin662,africa,0.21112109330309248,12
Airelor,africa,0.20879553479227747,13
Carolyn.monaco,africa,0.20835339561879479,14
Jonathankwanhc,africa,0.20811310248410364,15
LuLuDrops,africa,0.20686591916188785,16
Parper,africa,0.20650644382066044,17
Bibliomachus,africa,0.20627977168945444,18
Pitambar Bhattarai,africa,0.20558621940070279,19
Jacky Chi Wo Kwong,africa,0.20540437162241998,20
81belle,anime and manga,0.38255870054679963,1
Aliciastockley,anime and manga,0.38255870054679963,2
Cheri Brown,anime and manga,0.34270531789428543,3
Teranteran,anime and manga,0.31613639612594258,4
F&ME01,anime and manga,0.29323081302706644,5
Smellcheck,anime and manga,0.28354053620965336,6
Elitre (WPS),anime and manga,0.28258349415674922,7
Abhajaiprakash,anime and manga,0.2792077289767,8
Akshay Kumar Wiki,anime and manga,0.27886593113354136,9
FanofPopMusic,anime and manga,0.27860858468668309,10
Sherya ghosal,anime and manga,0.27856633627005517,11
Jlo Fan 1999,anime and manga,0.27854630826289034,12
Mrwaugh,anime and manga,0.27841425290469662,13
Jjavier1978,anime and manga,0.27816394740613748,14
Anotha1,anime and manga,0.27801869380753264,15
Ramesh Naidu10,anime and manga,0.27694802183341782,16
Ganesh Subbu,anime and manga,0.27669708276454197,17
Anjoepaul,anime and manga,0.27660190843786864,18
Nadeembahoo,anime and manga,0.276388860968157,19
Chrishm21,anime and manga,0.274371190753066,20
Tortajtartej,asia,0.2748609671034028,1
Narspur,asia,0.2748609671034028,2
Wheres.dot,asia,0.2748609671034028,3
Hebue,asia,0.2724604895214755,4
Fabiorivavaldobbia,asia,0.25444563984385415,5
Janwillemvanaalst,asia,0.24922874603139072,6
Bytfisch,asia,0.2485258847309936,7
Airelor,asia,0.24846828164765769,8
Carl the not so great,asia,0.24556017260026636,9
Jahnjahnafricano,asia,0.24374373650801179,10
Pitambar Bhattarai,asia,0.24354952412182587,11
Jimmarsmars,asia,0.24287968286884304,12
Parper,asia,0.24078713491240597,13
