wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
military history,achilles,305,0,,c
military history,abraham lincoln,307,0,,ga
military history,angolan armed forces,709,0,,start
military history,albert sidney johnston,711,0,,c
military history,american revolutionary war,771,0,,c
military history,alexander the great,783,0,,ga
military history,attila,841,0,,c
military history,american civil war,863,0,,c
military history,a. a. milne,924,0,,c
military history,albert speer,954,0,,fa
military history,royal antigua and barbuda defence force,1074,0,,start
military history,azerbaijani armed forces,1088,0,,b
military history,armed forces of armenia,1097,0,,c
military history,abner doubleday,1135,0,,b
military history,augustus,1273,0,,fa
military history,ak-47,1348,0,,c
military history,army,1376,0,,start
military history,aeneas,1540,0,,c
military history,agamemnon,1544,0,,start
military history,agesilaus ii,1550,0,,start
military history,agrippina the elder,1556,0,,c
military history,agrippina the younger,1557,0,,c
military history,ahmad shah durrani,1560,0,,b
military history,ajax the lesser,1567,0,,start
military history,alaric i,1570,0,,start
military history,alboin,1575,0,,fa
military history,afonso de albuquerque,1576,0,,c
military history,alexander i of epirus,1585,0,,start
military history,alexander ii of epirus,1588,0,,start
military history,severus alexander,1600,0,,c
military history,alexios i komnenos,1613,0,,c
military history,andrew jackson,1623,0,,b
military history,andrew johnson,1624,0,,fa
military history,alfred the great,1640,0,,c
military history,afonso v of portugal,1661,0,,start
military history,alfonso the battler,1679,0,,c
military history,amasis ii,1685,0,,start
military history,alfonso v of aragon,1686,0,,c
military history,amazons,1695,0,,b
military history,ambiorix,1698,0,,c
military history,ammianus marcellinus,1767,0,,b
military history,anti-ballistic missile,1791,0,,start
military history,agathocles of syracuse,1840,0,,start
military history,adhemar of le puy,1875,0,,start
military history,alphonse, count of poitiers,1878,0,,c
military history,alfonso jordan,1879,0,,start
military history,ambush,1905,0,,start
military history,american revolution,1973,0,,b
military history,auschwitz concentration camp,2006,0,,ga
military history,archery,2007,0,,start
military history,delian league,2037,0,,c
military history,armour,2147,0,,c
military history,armoured fighting vehicle,2148,0,,start
military history,all quiet on the western front,2152,0,,c
military history,ahmad shah massoud,2176,0,,c
military history,aage bohr,2201,0,,ga
military history,abu sayyaf,2216,0,,c
military history,aircraft carrier,2219,0,,c
military history,Ælle of sussex,2233,0,,fa
military history,assault gun,2284,0,,start
military history,tank destroyer,2286,0,,c
military history,armored car (military),2287,0,,start
military history,self-propelled anti-aircraft weapon,2288,0,,start
military history,area 51,2321,0,,b
military history,albert pike,2371,0,,start
military history,abdul rashid dostum,2376,0,,c
military history,arc de triomphe,2482,0,,c
military history,artillery,2508,0,,c
military history,agent orange,2547,0,,ga
military history,arthur phillip,2563,0,,c
military history,abatis,2606,0,,start
military history,abbas mirza,2610,0,,c
military history,aelianus tacticus,2634,0,,start
military history,arthur st. clair,2639,0,,c
military history,abd al-rahman i,2676,0,,c
military history,abd ar-rahman ii,2677,0,,start
military history,abd ar-rahman v,2680,0,,stub
military history,air show,2790,0,,c
military history,australian army,2795,0,,start
military history,archduke charles, duke of teschen,2875,0,,c
military history,anti-ballistic missile treaty,2975,0,,start
military history,admiralty,2988,0,,c
military history,islamic conquest of afghanistan,3068,0,,c
military history,abu zubaydah,3117,0,,c
military history,aim-7 sparrow,3146,0,,c
military history,aim-120 amraam,3147,0,,c
military history,agm-88 harm,3149,0,,c
military history,agm-65 maverick,3151,0,,c
military history,aim-54 phoenix,3152,0,,c
military history,lockheed ac-130,3155,0,,start
military history,rur-5 asroc,3218,0,,c
military history,albert iii, duke of saxony,3270,0,,start
military history,the birth of a nation,3333,0,,b
military history,bomber,3446,0,,c
military history,armed forces of belarus,3537,0,,c
military history,armed forces of bosnia and herzegovina,3610,0,,b
military history,brazilian armed forces,3637,0,,c
military history,bulgarian armed forces,3674,0,,c
military history,military of burkina faso,3683,0,,start
military history,military of burundi,3701,0,,stub
military history,berlin wall,3722,0,,c
military history,battle of adrianople (disambiguation),3730,0,,dab
military history,battle of bosworth field,3793,0,,fa
military history,bernard montgomery,3873,0,,b
military history,battle of pharsalus,4005,0,,c
military history,bletchley park,4037,0,,c
military history,battle of blenheim,4049,0,,fa
military history,battle of ramillies,4050,0,,fa
military history,battleship,4054,0,,fa
military history,battlecruiser,4057,0,,ga
military history,cim-10 bomarc,4130,0,,b
military history,battle of lostwithiel,4160,0,,start
military history,battle,4181,0,,c
military history,north american b-25 mitchell,4218,0,,start
military history,battle of peleliu,4283,0,,c
military history,battle of stalingrad,4284,0,,c
military history,batavi (germanic tribe),4295,0,,c
military history,book of joshua,4331,0,,c
military history,baldric,4353,0,,start
military history,battle of waterloo,4356,0,,ga
military history,boomerang,4359,0,,c
military history,biological warfare,4361,0,,b
military history,boiled leather,4371,0,,stub
military history,books of samuel,4378,0,,start
military history,northrop grumman b-2 spirit,4396,0,,b
military history,battle of poitiers,4503,0,,b
military history,boudica,4517,0,,c
military history,babur,4551,0,,c
military history,braveheart,4560,0,,b
military history,battle of jutland,4563,0,,c
military history,blackbeard,4572,0,,fa
military history,battle of the nile,4606,0,,fa
military history,battle of agincourt,4615,0,,c
military history,blitzkrieg,4652,0,,b
military history,boston corbett,4692,0,,start
military history,british empire,4721,0,,fa
military history,benjamin franklin-class submarine,4735,0,,start
military history,blue streak (missile),4754,0,,c
military history,blue steel (missile),4777,0,,c
military history,baralong incidents,4794,0,,b
military history,battle of marathon,4806,0,,a
military history,balfour declaration,4820,0,,ga
military history,black hand (serbia),4821,0,,c
military history,balkan wars,4823,0,,c
military history,battle of gettysburg,4849,0,,ga
military history,british army,4887,0,,ga
military history,black and tans,4922,0,,c
military history,battle of Świecino,4928,0,,start
military history,blue angels,4949,0,,c
military history,rockwell b-1 lancer,4952,0,,ga
military history,bokken,4955,0,,c
military history,birmingham small arms company,4960,0,,start
military history,bronze star medal,4972,0,,c
military history,battle of abritus,4975,0,,b
military history,battle of berestechko,4978,0,,c
military history,bohdan khmelnytsky,4980,0,,c
military history,battle of okinawa,4986,0,,c
military history,battle of el alamein,4987,0,,dab
military history,boeing b-17 flying fortress,4997,0,,start
military history,bathyscaphe trieste,5001,0,,c
military history,battle of bouvines,5003,0,,start
military history,battle of actium,5008,0,,c
military history,battle of adwa,5013,0,,b
military history,bloody sunday (1972),5030,0,,start
military history,cold war (1947–1953),5248,0,,c
military history,charlemagne,5314,0,,c
military history,chad national army,5336,0,,start
military history,cameroonian armed forces,5455,0,,start
military history,cape verdean armed forces,5466,0,,start
military history,military of the cayman islands,5476,0,,rdr
military history,central african armed forces,5486,0,,start
military history,military of chile,5497,0,,start
military history,public forces of costa rica,5559,0,,start
military history,armed forces of the republic of ivory coast,5571,0,,start
military history,republic of croatia armed forces,5581,0,,start
military history,c. northcote parkinson,5622,0,,start
military history,Çevik bir,5706,0,,stub
military history,cryptanalysis,5715,0,,c
military history,conscription,5735,0,,start
military history,catherine coleman,5736,0,,c
military history,clement attlee,5766,0,,b
military history,military forces of colombia,5843,0,,start
military history,army of the czech republic,5853,0,,start
military history,css virginia,5933,0,,c
military history,military of the comoros,6008,0,,stub
military history,carl von clausewitz,6066,0,,c
military history,charles robert malden,6091,0,,start
military history,claudius,6140,0,,c
military history,chuck yeager,6185,0,,b
military history,camp david,6357,0,,start
military history,convention of kanagawa,6365,0,,start
military history,camouflage,6446,0,,ga
military history,charles martel,6452,0,,start
military history,charles edward jones,6456,0,,stub
military history,carbine,6579,0,,c
military history,cruise missile,6590,0,,c
military history,central powers,6673,0,,start
military history,citadel,6695,0,,start
military history,mail (armour),6696,0,,c
military history,boeing c-17 globemaster iii,6731,0,,b
military history,constantius ii,6746,0,,c
military history,constans,6747,0,,c
military history,cheka,6752,0,,c
